datetime,symbol,open,high,low,close,volume,vwap,transactions
2024-08-09 08:00:00,MSFT,404.75,404.75,404.0,404.11,1552.0,404.0201,128
2024-08-09 08:10:00,MSFT,403.92,404.03,403.92,404.03,1777.0,404.0055,64
2024-08-09 08:15:00,MSFT,404.48,404.6,404.48,404.6,3745.0,404.5229,136
2024-08-09 08:20:00,MSFT,404.5,404.6,404.5,404.6,1933.0,404.54,63
2024-08-09 08:25:00,MSFT,404.87,404.88,404.86,404.88,1434.0,404.8408,64
2024-08-09 08:30:00,MSFT,404.86,405.72,404.86,405.72,3432.0,405.2712,145
2024-08-09 08:35:00,MSFT,405.77,405.77,405.72,405.73,1167.0,405.7728,44
2024-08-09 08:40:00,MSFT,405.75,406.82,405.72,406.8,5277.0,406.1589,208
2024-08-09 08:45:00,MSFT,406.23,406.28,406.23,406.28,1270.0,406.2989,57
2024-08-09 08:50:00,MSFT,406.31,406.31,406.31,406.31,696.0,406.31,22
2024-08-09 08:55:00,MSFT,406.4,406.4,406.25,406.25,795.0,406.3142,38
2024-08-09 09:00:00,MSFT,406.32,406.32,406.25,406.3,2730.0,406.2768,93
2024-08-09 09:05:00,MSFT,406.41,406.41,406.2,406.3,3222.0,406.2577,140
2024-08-09 09:10:00,MSFT,406.66,406.72,406.65,406.65,1219.0,406.6784,66
2024-08-09 09:15:00,MSFT,406.82,407.19,406.82,407.19,1320.0,407.0596,119
2024-08-09 09:20:00,MSFT,407.3,407.3,407.09,407.15,1953.0,407.193,77
2024-08-09 09:25:00,MSFT,407.12,407.12,406.93,406.93,1797.0,407.0125,96
2024-08-09 09:30:00,MSFT,406.61,406.89,406.61,406.89,1450.0,406.753,114
2024-08-09 09:35:00,MSFT,406.74,406.74,406.74,406.74,206.0,406.7402,8
2024-08-09 09:40:00,MSFT,406.69,406.88,406.61,406.65,1935.0,406.6977,82
2024-08-09 09:45:00,MSFT,406.64,406.64,406.2,406.2,2474.0,406.3993,183
2024-08-09 09:50:00,MSFT,406.5,406.5,406.41,406.41,800.0,406.4257,23
2024-08-09 09:55:00,MSFT,406.68,407.0,406.65,407.0,2068.0,406.7525,93
2024-08-09 10:00:00,MSFT,407.0,407.0,406.7,406.7,1630.0,406.858,145
2024-08-09 10:05:00,MSFT,406.74,406.88,406.1,406.1,3521.0,406.3672,153
2024-08-09 10:10:00,MSFT,406.36,406.71,406.36,406.51,1752.0,406.4807,96
2024-08-09 10:15:00,MSFT,406.54,406.54,406.4,406.4,908.0,406.3607,57
2024-08-09 10:25:00,MSFT,406.69,406.69,406.69,406.69,202.0,406.7146,7
2024-08-09 10:35:00,MSFT,406.67,406.85,406.67,406.85,2062.0,406.8049,37
2024-08-09 10:45:00,MSFT,406.51,406.51,406.5,406.5,1136.0,406.5195,34
2024-08-09 11:00:00,MSFT,406.6,406.64,405.8,405.98,9230.0,406.221,365
2024-08-09 11:05:00,MSFT,405.98,406.13,405.5,405.5,3238.0,405.9016,137
2024-08-09 11:10:00,MSFT,405.77,405.79,405.67,405.76,3816.0,405.7635,109
2024-08-09 11:15:00,MSFT,406.0,406.2,406.0,406.18,2402.0,406.1174,115
2024-08-09 11:20:00,MSFT,406.22,406.22,405.51,405.51,3332.0,405.9241,204
2024-08-09 11:25:00,MSFT,405.58,405.69,404.73,404.75,7082.0,405.1272,269
2024-08-09 11:30:00,MSFT,405.3,405.3,404.54,404.79,4298.0,404.9066,203
2024-08-09 11:35:00,MSFT,405.1,405.11,404.38,404.53,4170.0,404.7159,271
2024-08-09 11:40:00,MSFT,404.71,404.71,404.27,404.27,2828.0,404.5157,112
2024-08-09 11:45:00,MSFT,404.49,404.75,404.49,404.6,2482.0,404.517,128
2024-08-09 11:50:00,MSFT,404.74,405.27,404.51,405.01,4649.0,404.8246,177
2024-08-09 11:55:00,MSFT,405.0,405.0,404.8,404.81,1792.0,404.8919,66
2024-08-09 12:00:00,MSFT,405.4,406.3,403.0,404.28,1036452.0,402.7284,919
2024-08-09 12:05:00,MSFT,404.09,404.09,403.2,403.55,7288.0,403.7385,278
2024-08-09 12:10:00,MSFT,403.37,403.5,403.3,403.31,4688.0,403.3643,184
2024-08-09 12:15:00,MSFT,403.58,403.8,403.58,403.79,2125.0,403.7066,80
2024-08-09 12:20:00,MSFT,403.5,403.5,403.05,403.07,2705.0,403.1834,116
2024-08-09 12:25:00,MSFT,403.25,403.5,403.19,403.19,1591.0,403.32,109
2024-08-09 12:30:00,MSFT,403.1,403.1,401.94,401.96,13946.0,402.4159,690
2024-08-09 12:35:00,MSFT,401.98,402.5,401.6,402.5,4833.0,401.9785,239
2024-08-09 12:40:00,MSFT,402.8,403.21,402.68,403.21,11084.0,402.9759,239
2024-08-09 12:45:00,MSFT,403.18,403.18,403.0,403.16,961.0,403.1018,53
2024-08-09 12:50:00,MSFT,402.951,403.49,402.0,402.14,10940.0,402.8444,392
2024-08-09 12:55:00,MSFT,402.98,403.37,402.91,403.29,5397.0,403.0774,281
2024-08-09 13:00:00,MSFT,403.0,403.78,402.67,403.78,11113.0,403.1311,377
2024-08-09 13:05:00,MSFT,403.79,404.21,403.6,403.83,6413.0,403.8829,237
2024-08-09 13:10:00,MSFT,404.16,404.19,403.9,403.9,1292.0,404.0473,79
2024-08-09 13:15:00,MSFT,403.8195,404.0,403.14,403.14,4083.0,403.7539,192
2024-08-09 13:20:00,MSFT,403.92,403.9397,403.25,403.71,3208.0,403.7462,128
2024-08-09 13:25:00,MSFT,403.79,404.05,403.5,404.0,7631.0,403.8733,276
2024-08-09 13:30:00,MSFT,404.03,405.12,403.12,405.0,651915.0,404.212,13289
2024-08-09 13:35:00,MSFT,405.08,406.0,403.85,405.735,295567.0,405.2381,6863
2024-08-09 13:40:00,MSFT,405.7,405.71,403.625,403.7203,185699.0,404.614,5137
2024-08-09 13:45:00,MSFT,403.76,405.59,403.76,404.34,179135.0,404.6849,4497
2024-08-09 13:50:00,MSFT,404.39,405.43,404.38,404.7875,143231.0,404.8829,4009
2024-08-09 13:55:00,MSFT,404.85,405.04,403.3102,403.48,179167.0,404.0559,4911
2024-08-09 14:00:00,MSFT,403.49,404.515,403.19,404.51,183110.0,403.8669,5003
