datetime,symbol,open,high,low,close,volume,vwap,transactions
2023-09-27 08:00:00,XLK,162.58,162.58,162.57,162.58,604.0,162.5748,4
2023-09-27 10:25:00,XLK,162.7,162.7,162.7,162.7,300.0,162.68,5
2023-09-27 10:40:00,XLK,162.69,162.69,162.69,162.69,786.0,162.69,25
2023-09-27 11:25:00,XLK,162.84,162.91,162.84,162.91,1758.0,162.8616,23
2023-09-27 11:35:00,XLK,162.63,162.63,162.62,162.62,710.0,162.6213,8
2023-09-27 11:40:00,XLK,162.69,162.69,162.69,162.69,250.0,162.69,4
2023-09-27 11:45:00,XLK,162.65,162.65,162.65,162.65,501.0,162.652,5
2023-09-27 11:55:00,XLK,162.79,162.8,162.79,162.8,1100.0,162.7973,13
2023-09-27 12:00:00,XLK,162.54,162.84,162.54,162.79,4326.0,162.5962,16
2023-09-27 12:10:00,XLK,162.66,162.71,162.66,162.71,2673.0,162.6935,30
2023-09-27 12:20:00,XLK,162.7,162.72,162.6,162.61,10833.0,162.6628,96
2023-09-27 12:30:00,XLK,162.61,162.61,162.61,162.61,600.0,162.61,2
2023-09-27 12:35:00,XLK,162.82,162.82,162.82,162.82,150.0,162.82,2
2023-09-27 12:40:00,XLK,162.66,162.7,162.66,162.7,854.0,162.6778,5
2023-09-27 12:45:00,XLK,162.72,162.8,162.72,162.8,807.0,162.7364,8
2023-09-27 12:50:00,XLK,162.59,162.59,162.59,162.59,856.0,162.6258,15
2023-09-27 12:55:00,XLK,162.85,162.86,162.85,162.86,961.0,162.8581,12
2023-09-27 13:05:00,XLK,162.75,162.75,162.7,162.7,411.0,162.7206,8
2023-09-27 13:15:00,XLK,162.87,162.87,162.87,162.87,905.0,162.8704,2
2023-09-27 13:25:00,XLK,162.77,162.87,162.77,162.87,679.0,162.8096,12
2023-09-27 13:30:00,XLK,162.75,162.98,162.63,162.71,168569.0,162.7729,2035
2023-09-27 13:35:00,XLK,162.715,162.84,162.4604,162.59,81242.0,162.6025,1091
2023-09-27 13:40:00,XLK,162.62,162.79,162.41,162.77,57619.0,162.5502,832
2023-09-27 13:45:00,XLK,162.78,162.945,162.57,162.61,78200.0,162.7787,1102
2023-09-27 13:50:00,XLK,162.62,162.76,162.52,162.7,78043.0,162.6156,767
2023-09-27 13:55:00,XLK,162.68,162.68,162.41,162.45,40815.0,162.519,628
2023-09-27 14:00:00,XLK,162.465,162.56,162.11,162.18,56890.0,162.3257,718
2023-09-27 14:05:00,XLK,162.19,162.19,162.0,162.08,31865.0,162.0843,468
2023-09-27 14:10:00,XLK,162.06,162.06,161.83,161.85,54785.0,161.9306,786
2023-09-27 14:15:00,XLK,161.83,162.01,161.83,162.01,50697.0,161.905,595
2023-09-27 14:20:00,XLK,162.02,162.4095,162.02,162.27,132952.0,162.23,1401
2023-09-27 14:25:00,XLK,162.28,162.52,162.28,162.45,36556.0,162.4053,500
2023-09-27 14:30:00,XLK,162.44,162.59,162.26,162.55,96059.0,162.4554,1073
2023-09-27 14:35:00,XLK,162.55,162.55,162.21,162.25,48812.0,162.3593,645
2023-09-27 14:40:00,XLK,162.24,162.24,162.06,162.08,34810.0,162.167,461
2023-09-27 14:45:00,XLK,162.11,162.32,162.01,162.25,49578.0,162.1547,615
