Symbol,Name,Category,Total Trades,Win Rate,Total PnL,Avg Win,Avg Loss,Profit Factor,Max DD,Sharpe,Return %
MNQ=F,Micro Nasdaq,futures,37,62.2%,$2709.25,$178.68,$-100.04,2.93,$-361.50,7.66,27.1%
NQ=F,Nasdaq Futures,futures,34,52.9%,$1954.75,$193.49,$-95.50,2.28,$-363.00,5.74,19.5%
QQQ,Nasdaq ETF,stocks,47,48.9%,$826.86,$76.54,$-38.90,1.89,$-257.07,4.28,8.3%
GLD,Gold ETF,commodities,50,54.0%,$769.71,$51.90,$-27.45,2.22,$-176.47,5.78,7.7%
GC=F,Gold,commodities,51,58.8%,$731.79,$39.82,$-22.04,2.58,$-84.90,6.92,7.3%
SPY,S&P 500 ETF,stocks,58,37.9%,$277.67,$46.22,$-20.53,1.38,$-183.41,2.00,2.8%
MSFT,Microsoft,stocks,51,35.3%,$-114.28,$128.92,$-73.78,0.95,$-749.48,-0.35,-1.1%
AMZN,Amazon,stocks,45,33.3%,$-116.38,$159.59,$-83.67,0.95,$-733.68,-0.34,-1.2%
AAPL,Apple,stocks,53,26.4%,$-789.18,$156.61,$-76.45,0.74,$-1192.54,-2.23,-7.9%
GOOGL,Google,stocks,45,22.2%,$-1219.86,$169.99,$-83.42,0.58,$-1637.86,-4.01,-12.2%
TSLA,Tesla,stocks,54,22.2%,$-1674.92,$153.23,$-83.66,0.52,$-1828.33,-4.93,-16.7%
