symbol,total_trades,wins,losses,win_rate,total_pnl,avg_win,avg_loss,profit_factor,final_capital,return_pct
COST,362,226,136,0.6243093922651933,213885.14747036734,1417.0926398621673,782.1896260182531,3.0106184684091533,223885.1474703672,2138.851474703672
GOOGL,271,141,130,0.5202952029520295,34177.33526683286,457.5689703998629,233.38376584267544,2.1264818614370147,44177.335266832866,341.77335266832864
ADBE,325,152,173,0.4676923076923077,25654.5347009129,423.496856454871,223.79761549264444,1.6626170156966504,35654.53470091293,256.54534700912933
NQ=F,278,135,143,0.4856115107913669,24423.578494170783,396.44472259761375,203.47174165389563,1.839400369877954,34423.57849417079,244.2357849417079
QQQ,286,136,150,0.4755244755244755,22726.725158680347,384.322239408305,196.94066267232756,1.7693256385044047,32726.725158680358,227.26725158680358
NFLX,360,155,205,0.4305555555555556,17430.99213318954,342.5678364627406,173.98547570017195,1.4887145296227378,27430.99213318956,174.3099213318956
PEP,289,130,159,0.44982698961937717,16547.17239246005,360.97866358496253,191.0695212175162,1.5446722530945716,26547.17239246006,165.47172392460058
MNQ=F,263,118,145,0.44866920152091255,14094.808809180326,336.5811809367771,176.70186580247847,1.55011064853727,24094.808809180344,140.94808809180344
META,301,129,172,0.42857142857142855,12838.92340741323,297.3486754626551,148.36660306551903,1.5031112257689752,22838.92340741321,128.3892340741321
XLF,184,89,95,0.483695652173913,12426.359182911216,313.79394362686617,163.17159789347232,1.8016332656014424,22426.359182911205,124.26359182911204
XLK,222,100,122,0.45045045045045046,11257.437805046939,283.19920940706396,139.85641914474962,1.6597772267695108,21257.437805046953,112.57437805046952
UNH,178,84,94,0.47191011235955055,10517.41865078258,296.21037528064653,152.8112007743801,1.7321939222264953,20517.41865078258,105.1741865078258
AAPL,331,133,198,0.40181268882175225,9036.687233587869,266.4171035330434,133.31710876922682,1.3423404162782513,19036.687233587883,90.36687233587884
MA,230,97,133,0.4217391304347826,7934.841477244774,255.67175829078005,126.80691035308938,1.4704827368540143,17934.841477244787,79.34841477244787
DIS,183,81,102,0.4426229508196721,7840.366076552462,275.60761826571957,141.998539244812,1.5413177803986178,17840.366076552473,78.40366076552473
JPM,197,85,112,0.43147208121827413,7464.509577780967,265.7290318653699,135.0219475962096,1.493604248279588,17464.509577780984,74.64509577780983
IWM,239,99,140,0.41422594142259417,7391.788609295119,270.47399400079615,138.4652628341693,1.381312171628396,17391.78860929513,73.9178860929513
DIA,223,93,130,0.4170403587443946,7076.201526811002,245.47692564380486,121.17809660048351,1.4491927251215007,17076.201526810983,70.76201526810982
MSFT,311,122,189,0.39228295819935693,6759.950587608342,258.09846038084726,130.83630465002656,1.2733716335205498,16759.950587608328,67.59950587608327
NVDA,250,101,149,0.404,6529.561893091508,246.52644441585656,123.28596639536916,1.355454593269333,16529.561893091508,65.29561893091508
AMZN,263,105,158,0.39923954372623577,6344.768786303508,239.19348704830318,118.80093261878685,1.3380172494026796,16344.76878630352,63.447687863035206
AMD,208,86,122,0.41346153846153844,6110.48119918398,245.2031469874553,122.76220853882928,1.4079912870977649,16110.481199183974,61.104811991839746
TSLA,238,94,144,0.3949579831932773,5131.576145904619,212.19940468153928,102.88311037611165,1.3463731347875854,15131.57614590461,51.315761459046094
BAC,195,78,117,0.4,4458.763874752135,255.0960568932674,131.95494498224545,1.2888038258189345,14458.763874752129,44.58763874752128
XOM,190,75,115,0.39473684210526316,3901.455085318747,239.07191991010777,121.99077311251597,1.2781005114442985,13901.455085318745,39.014550853187444
KO,154,58,96,0.37662337662337664,2016.7947550840036,218.51219096129995,111.00950334032702,1.189247569502096,12016.794755084007,20.167947550840072
PG,191,70,121,0.36649214659685864,1854.1541277449012,195.20964284918333,97.60761050990031,1.1569917320232748,11854.1541277449,18.541541277448996
SPY,206,74,132,0.3592233009708738,1488.3695512762888,209.82405134916374,106.35310794365022,1.1060197216764218,11488.369551276292,14.883695512762914
WMT,195,69,126,0.35384615384615387,1052.1398288886421,191.66676743497408,96.61005654067121,1.0864331975499408,11052.139828888647,10.521398288886466
CRM,206,71,135,0.3446601941747573,504.2116976444147,174.84804133174322,88.2222165696989,1.0423351578463458,10504.21169764442,5.042116976444195
VTI,77,26,51,0.33766233766233766,23.03830921620539,190.2217721024376,96.52407383229749,1.0046799884766964,10023.038309216203,0.23038309216202835
GLD,163,50,113,0.3067484662576687,-1354.5903277582815,206.99703363141137,103.579132825919,0.884266987979553,8645.409672241722,-13.545903277582783
JNJ,215,67,148,0.3116279069767442,-1484.3008778354756,182.00048447183127,92.42117119897412,0.8914852532675311,8515.699122164518,-14.843008778354816
EEM,78,20,58,0.2564102564102564,-1704.458851619104,192.73836146670314,95.84872553367529,0.6933999756802726,8295.541148380897,-17.044588516191034
V,224,69,155,0.3080357142857143,-1742.1495372036204,193.44855018595536,97.35548064538412,0.8845501623631021,8257.85046279637,-17.421495372036297
