date,orb_high,orb_low,orb_range,long_entry,long_sl,long_tp,short_entry,short_sl,short_tp,long_triggered,short_triggered,long_result,short_result,day_high,day_low
2023-09-27,337.21,336.98,0.23,337.21,336.98,337.67,336.98,337.21,336.52,False,True,No Trade,SL,337.5,334.34
2023-10-04,330.24,330.18,0.06,330.24,330.18,330.36,330.18,330.24,330.06,True,True,TP,TP,330.93,328.6
2023-10-26,329.8,329.79,0.01,329.8,329.79,329.82,329.79,329.8,329.77,True,True,TP,TP,331.02,328.62
2023-11-10,339.47,339.44,0.03,339.47,339.44,339.53,339.44,339.47,339.38,True,True,TP,TP,340.92,339.27
2023-11-20,349.61,349.51,0.1,349.61,349.51,349.81,349.51,349.61,349.31,True,True,SL,TP,350.53,349.04
2023-11-27,353.1,353.09,0.01,353.1,353.09,353.12,353.09,353.1,353.07,False,False,No Trade,No Trade,354.14,353.09
2023-12-05,362.41,362.33,0.08,362.41,362.33,362.57,362.33,362.41,362.17,False,False,No Trade,No Trade,362.36,360.7
2023-12-07,360.62,360.59,0.03,360.62,360.59,360.68,360.59,360.62,360.53,True,False,TP,No Trade,362.29,360.56
2023-12-21,372.79,372.77,0.02,372.79,372.77,372.83,372.77,372.79,372.73,True,True,TP,TP,373.99,372.35
2024-01-05,374.05,373.93,0.12,374.05,373.93,374.29,373.93,374.05,373.69,True,True,SL,SL,376.25,372.68
2024-01-08,372.5,372.44,0.06,372.5,372.44,372.62,372.44,372.5,372.32,False,False,No Trade,No Trade,374.35,372.47
2024-01-12,377.82,377.74,0.08,377.82,377.74,377.98,377.74,377.82,377.58,True,True,TP,TP,378.25,374.62
2024-01-22,379.07,379.05,0.02,379.07,379.05,379.11,379.05,379.07,379.01,False,False,No Trade,No Trade,381.08,379.1
2024-01-31,385.02,384.99,0.03,385.02,384.99,385.08,384.99,385.02,384.93,True,True,TP,TP,385.82,384.48
2024-02-02,385.12,385.09,0.03,385.12,385.09,385.18,385.09,385.12,385.03,False,True,No Trade,TP,385.76,383.24
2024-02-20,385.5,385.35,0.15,385.5,385.35,385.8,385.35,385.5,385.05,True,False,SL,No Trade,386.57,384.54
2024-03-05,389.9,389.82,0.08,389.9,389.82,390.06,389.82,389.9,389.66,True,True,SL,TP,389.93,387.66
2024-03-20,390.87,390.71,0.16,390.87,390.71,391.19,390.71,390.87,390.39,True,False,TP,No Trade,391.62,389.89
2024-04-19,376.85,376.62,0.23,376.85,376.62,377.31,376.62,376.85,376.16,True,False,TP,No Trade,379.97,375.02
2024-05-03,385.2,385.18,0.02,385.2,385.18,385.24,385.18,385.2,385.14,True,True,SL,SL,387.99,384.98
2024-05-10,395.4,395.35,0.05,395.4,395.35,395.5,395.35,395.4,395.25,True,True,TP,TP,395.9,394.1
2024-05-24,391.22,391.2,0.02,391.22,391.2,391.26,391.2,391.22,391.16,True,True,SL,TP,392.25,390.41
2024-05-30,381.31,381.27,0.04,381.31,381.27,381.39,381.27,381.31,381.19,True,True,TP,SL,382.21,380.41
2024-06-03,387.14,387.07,0.07,387.14,387.07,387.28,387.07,387.14,386.93,True,True,TP,TP,388.24,384.36
2024-06-13,386.56,386.47,0.09,386.56,386.47,386.74,386.47,386.56,386.29,True,True,SL,SL,387.71,384.59
2024-06-14,384.92,384.6,0.32,384.92,384.6,385.56,384.6,384.92,383.96,True,True,TP,SL,386.13,383.5
2024-07-03,393.75,393.74,0.01,393.75,393.74,393.77,393.74,393.75,393.72,False,True,No Trade,TP,394.06,392.14
2024-07-09,393.89,393.85,0.04,393.89,393.85,393.97,393.85,393.89,393.77,False,True,No Trade,SL,393.91,391.47
2024-07-15,402.29,402.05,0.24,402.29,402.05,402.77,402.05,402.29,401.57,True,True,TP,SL,403.58,401.35
2024-07-17,408.89,408.73,0.16,408.89,408.73,409.21,408.73,408.89,408.41,True,True,SL,TP,412.0,408.07
2024-07-18,411.7,411.63,0.07,411.7,411.63,411.84,411.63,411.7,411.49,True,True,SL,TP,413.86,409.43
2024-07-22,403.4,403.37,0.03,403.4,403.37,403.46,403.37,403.4,403.31,True,True,SL,TP,404.73,402.22
