date,orb_high,orb_low,orb_range,long_entry,long_sl,long_tp,short_entry,short_sl,short_tp,long_triggered,short_triggered,long_result,short_result,day_high,day_low
2023-09-29,133.58,133.49,0.09,133.58,133.49,133.76,133.49,133.58,133.31,True,True,SL,TP,134.05,131.78
2023-10-02,131.54,131.4,0.14,131.54,131.4,131.82,131.4,131.54,131.12,True,False,TP,No Trade,134.42,130.1
2023-10-03,134.13,134.1,0.03,134.13,134.1,134.19,134.1,134.13,134.04,True,True,SL,TP,134.76,132.04
2023-10-04,132.41,132.4,0.01,132.41,132.4,132.43,132.4,132.41,132.38,False,False,No Trade,No Trade,135.41,131.0
2023-10-13,138.37,138.23,0.14,138.37,138.23,138.65,138.23,138.37,137.95,False,True,No Trade,TP,140.0,136.71
2023-10-18,138.93,138.9,0.03,138.93,138.9,138.99,138.9,138.93,138.84,True,True,TP,SL,140.72,138.7
2023-10-23,134.71,134.52,0.19,134.71,134.52,135.09,134.52,134.71,134.14,True,True,TP,SL,137.04,133.95
2023-10-24,137.86,137.84,0.02,137.86,137.84,137.9,137.84,137.86,137.8,True,True,TP,TP,139.36,137.3
2023-10-25,129.69,129.4,0.29,129.69,129.4,130.27,129.4,129.69,128.82,False,True,No Trade,SL,131.2,125.35
2023-10-26,123.27,123.25,0.02,123.27,123.25,123.31,123.25,123.27,123.21,True,True,SL,TP,125.61,121.27
2023-10-27,122.99,122.93,0.06,122.99,122.93,123.11,122.93,122.99,122.81,True,True,TP,SL,123.86,120.21
2023-10-31,124.47,124.22,0.25,124.47,124.22,124.97,124.22,124.47,123.72,True,True,SL,TP,125.37,122.9
2023-11-01,123.78,123.69,0.09,123.78,123.69,123.96,123.69,123.78,123.51,True,False,SL,No Trade,125.69,123.43
2023-11-02,127.46,127.39,0.07,127.46,127.39,127.6,127.39,127.46,127.25,True,True,TP,TP,128.98,127.1
2023-11-06,129.38,129.3,0.08,129.38,129.3,129.54,129.3,129.38,129.14,True,True,SL,TP,130.04,128.67
2023-11-10,129.56,129.52,0.04,129.56,129.52,129.64,129.52,129.56,129.44,True,False,SL,No Trade,130.88,129.37
2023-11-13,132.02,132.0,0.02,132.02,132.0,132.06,132.0,132.02,131.96,True,True,TP,TP,132.47,131.25
2023-11-15,134.18,133.95,0.23,134.18,133.95,134.64,133.95,134.18,133.49,True,True,TP,SL,135.03,133.62
2023-11-20,134.5,134.19,0.31,134.5,134.19,135.12,134.19,134.5,133.57,True,True,TP,SL,135.91,133.5
2023-11-21,136.7,136.59,0.11,136.7,136.59,136.92,136.59,136.7,136.37,True,True,SL,TP,137.18,135.8
2023-11-22,137.0,136.87,0.13,137.0,136.87,137.26,136.87,137.0,136.61,False,False,No Trade,No Trade,139.42,136.75
2023-11-27,136.29,136.23,0.06,136.29,136.23,136.41,136.23,136.29,136.11,True,True,SL,SL,138.42,135.79
2023-11-29,137.75,137.72,0.03,137.75,137.72,137.81,137.72,137.75,137.66,True,True,SL,TP,138.47,135.74
2023-11-30,135.21,135.0,0.21,135.21,135.0,135.63,135.0,135.21,134.58,True,True,SL,SL,135.76,132.3
2023-12-01,132.98,132.84,0.14,132.98,132.84,133.26,132.84,132.98,132.56,False,False,No Trade,No Trade,132.95,130.66
2023-12-04,131.35,131.2,0.15,131.35,131.2,131.65,131.2,131.35,130.9,False,True,No Trade,TP,131.44,127.9
2023-12-06,131.3,130.96,0.34,131.3,130.96,131.98,130.96,131.3,130.28,True,True,SL,SL,131.88,130.49
2023-12-07,133.7,133.14,0.56,133.7,133.14,134.82,133.14,133.7,132.02,True,False,SL,No Trade,137.93,131.11
2023-12-08,137.34,137.19,0.15,137.34,137.19,137.64,137.19,137.34,136.89,False,True,No Trade,TP,137.4,133.57
2023-12-11,134.56,134.47,0.09,134.56,134.47,134.74,134.47,134.56,134.29,False,False,No Trade,No Trade,134.55,131.36
2023-12-12,131.93,131.5,0.43,131.93,131.5,132.79,131.5,131.93,130.64,True,True,TP,SL,133.0,131.14
2023-12-13,133.15,133.14,0.01,133.15,133.14,133.17,133.14,133.15,133.12,True,True,TP,TP,133.95,132.31
2023-12-14,133.72,133.39,0.33,133.72,133.39,134.38,133.39,133.72,132.73,True,True,SL,SL,134.08,130.58
2023-12-15,132.39,132.25,0.14,132.39,132.25,132.67,132.25,132.39,131.97,True,True,SL,SL,133.51,131.02
2023-12-18,132.9,132.5,0.4,132.9,132.5,133.7,132.5,132.9,131.7,True,True,SL,SL,136.1,132.13
2023-12-20,136.17,136.1,0.07,136.17,136.1,136.31,136.1,136.17,135.96,True,False,SL,No Trade,141.7,135.95
2023-12-21,139.72,139.56,0.16,139.72,139.56,140.04,139.56,139.72,139.24,True,True,SL,TP,140.6,138.69
2023-12-22,140.44,140.36,0.08,140.44,140.36,140.6,140.36,140.44,140.2,True,True,TP,TP,141.99,140.09
2023-12-26,141.73,141.69,0.04,141.73,141.69,141.81,141.69,141.73,141.61,True,True,TP,TP,142.68,141.52
2023-12-29,140.4,140.35,0.05,140.4,140.35,140.5,140.35,140.4,140.25,False,False,No Trade,No Trade,140.36,139.21
2024-01-02,139.68,139.66,0.02,139.68,139.66,139.72,139.66,139.68,139.62,False,False,No Trade,No Trade,139.99,136.48
2024-01-04,139.31,139.29,0.02,139.31,139.29,139.35,139.29,139.31,139.25,True,False,SL,No Trade,139.55,138.01
2024-01-05,136.12,135.9,0.22,136.12,135.9,136.56,135.9,136.12,135.46,True,True,SL,SL,137.16,135.47
2024-01-08,135.2,135.1,0.1,135.2,135.1,135.4,135.1,135.2,134.9,False,False,No Trade,No Trade,137.48,135.31
2024-01-09,138.48,138.38,0.1,138.48,138.38,138.68,138.38,138.48,138.18,False,False,No Trade,No Trade,140.16,137.7
2024-01-10,141.45,141.29,0.16,141.45,141.29,141.77,141.29,141.45,140.97,True,True,SL,TP,142.48,140.76
2024-01-11,142.79,142.71,0.08,142.79,142.71,142.95,142.71,142.79,142.55,True,True,TP,SL,145.22,141.99
2024-01-12,141.56,141.36,0.2,141.56,141.36,141.96,141.36,141.56,140.96,True,True,SL,SL,143.0,141.06
2024-01-16,141.84,141.78,0.06,141.84,141.78,141.96,141.78,141.84,141.66,True,True,TP,SL,144.35,141.41
2024-01-17,141.41,141.33,0.08,141.41,141.33,141.57,141.33,141.41,141.17,True,True,SL,TP,142.25,138.9
2024-01-18,141.92,141.77,0.15,141.92,141.77,142.22,141.77,141.92,141.47,True,True,SL,SL,143.56,141.24
2024-01-19,144.65,144.58,0.07,144.65,144.58,144.79,144.58,144.65,144.44,False,False,No Trade,No Trade,145.99,143.99
2024-01-22,147.44,147.28,0.16,147.44,147.28,147.76,147.28,147.44,146.96,True,True,TP,SL,148.39,146.82
2024-01-23,145.82,145.74,0.08,145.82,145.74,145.98,145.74,145.82,145.58,True,False,TP,No Trade,147.15,145.5
2024-01-24,148.34,148.2,0.14,148.34,148.2,148.62,148.2,148.34,147.92,True,False,SL,No Trade,149.85,147.62
2024-01-26,151.1,150.95,0.15,151.1,150.95,151.4,150.95,151.1,150.65,True,True,SL,SL,152.29,150.26
2024-01-29,152.7,152.54,0.16,152.7,152.54,153.02,152.54,152.7,152.22,False,True,No Trade,TP,152.84,151.43
2024-01-30,153.69,153.58,0.11,153.69,153.58,153.91,153.58,153.69,153.36,True,True,SL,SL,153.99,152.39
2024-01-31,142.92,142.53,0.39,142.92,142.53,143.7,142.53,142.92,141.75,True,True,SL,SL,144.14,141.02
2024-02-01,141.52,141.4,0.12,141.52,141.4,141.76,141.4,141.52,141.16,True,True,TP,SL,143.06,141.2
