date,orb_high,orb_low,orb_range,long_entry,long_sl,long_tp,short_entry,short_sl,short_tp,long_triggered,short_triggered,long_result,short_result,day_high,day_low
2023-10-04,375.76,375.25,0.51,375.76,375.25,376.78,375.25,375.76,374.23,True,True,SL,SL,380.22,374.67
2023-10-11,375.5,375.0,0.5,375.5,375.0,376.5,375.0,375.5,374.0,True,True,TP,TP,377.81,370.68
2023-10-13,359.29,354.31,4.98,359.29,354.31,369.25,354.31,359.29,344.35,False,True,No Trade,No Exit,358.93,351.24
2023-10-18,352.64,352.1,0.54,352.64,352.1,353.72,352.1,352.64,351.02,True,True,SL,TP,355.18,348.75
2023-10-23,400.85,399.59,1.26,400.85,399.59,403.37,399.59,400.85,397.07,True,True,SL,SL,407.51,398.52
2023-11-10,435.3,435.25,0.05,435.3,435.25,435.4,435.25,435.3,435.15,False,False,No Trade,No Trade,442.5,435.31
2024-01-24,543.0,539.8,3.2,543.0,539.8,549.4,539.8,543.0,533.4,True,True,SL,SL,562.5,532.71
2024-01-25,548.25,547.99,0.26,548.25,547.99,548.77,547.99,548.25,547.47,True,True,TP,SL,556.98,543.51
2024-01-30,575.0,574.42,0.58,575.0,574.42,576.16,574.42,575.0,573.26,True,True,SL,TP,576.0,562.94
2024-02-12,562.56,562.35,0.21,562.56,562.35,562.98,562.35,562.56,561.93,True,True,SL,TP,565.85,559.1
2024-02-27,594.16,593.47,0.69,594.16,593.47,595.54,593.47,594.16,592.09,True,False,TP,No Trade,601.95,592.33
2024-04-19,575.0,572.01,2.99,575.0,572.01,580.98,572.01,575.0,566.03,True,True,SL,SL,579.28,556.61
2024-07-15,648.43,648.41,0.02,648.43,648.41,648.47,648.41,648.43,648.37,True,True,TP,TP,667.54,642.13
2024-07-17,652.5,651.5,1.0,652.5,651.5,654.5,651.5,652.5,649.5,False,True,No Trade,SL,652.97,639.47
2024-07-19,632.02,631.5,0.52,632.02,631.5,633.06,631.5,632.02,630.46,True,False,TP,No Trade,678.97,631.65
2024-08-27,691.98,690.86,1.12,691.98,690.86,694.22,690.86,691.98,688.62,True,True,TP,TP,707.89,686.92
2024-10-18,728.0,727.42,0.58,728.0,727.42,729.16,727.42,728.0,726.26,True,True,TP,SL,763.41,720.1
2024-11-06,777.0,776.99,0.01,777.0,776.99,777.02,776.99,777.0,776.97,False,False,No Trade,No Trade,777.0,757.38
2025-01-21,865.38,865.0,0.38,865.38,865.0,866.14,865.0,865.38,864.24,True,True,SL,SL,871.0,854.74
2025-01-22,996.59,995.68,0.91,996.59,995.68,998.41,995.68,996.59,993.86,True,True,SL,TP,1006.0,960.63
2025-01-27,962.2,961.72,0.48,962.2,961.72,963.16,961.72,962.2,960.76,True,False,SL,No Trade,982.27,956.0
2025-01-30,984.75,984.42,0.33,984.75,984.42,985.41,984.42,984.75,983.76,True,True,SL,SL,994.59,971.2
2025-02-04,978.0,977.96,0.04,978.0,977.96,978.08,977.96,978.0,977.88,False,True,No Trade,TP,1008.0,971.99
2025-02-10,1020.34,1020.23,0.11,1020.34,1020.23,1020.56,1020.23,1020.34,1020.01,True,True,TP,TP,1032.85,1015.88
2025-03-11,869.08,868.97,0.11,869.08,868.97,869.3,868.97,869.08,868.75,True,False,TP,No Trade,902.0,862.59
2025-03-20,963.0,962.5,0.5,963.0,962.5,964.0,962.5,963.0,961.5,True,True,TP,TP,967.58,947.33
2025-04-03,915.0,914.0,1.0,915.0,914.0,917.0,914.0,915.0,912.0,True,True,TP,SL,940.4,898.5
2025-04-07,823.18,820.5,2.68,823.18,820.5,828.54,820.5,823.18,815.14,False,False,No Trade,No Trade,906.74,809.0
2025-04-09,866.04,862.0,4.04,866.04,862.0,874.12,862.0,866.04,853.92,True,True,SL,SL,881.58,849.0
2025-04-15,957.53,957.52,0.01,957.53,957.52,957.55,957.52,957.53,957.5,True,False,TP,No Trade,991.48,943.0
2025-04-16,980.48,979.0,1.48,980.48,979.0,983.44,979.0,980.48,976.04,True,True,SL,TP,982.99,961.0
2025-05-01,1129.08,1128.65,0.43,1129.08,1128.65,1129.94,1128.65,1129.08,1127.79,True,True,SL,SL,1142.42,1111.83
2025-05-05,1115.5,1112.9,2.6,1115.5,1112.9,1120.7,1112.9,1115.5,1107.7,True,False,SL,No Trade,1142.0,1084.0
2025-05-09,1143.6,1143.34,0.26,1143.6,1143.34,1144.12,1143.34,1143.6,1142.82,True,True,TP,TP,1151.0,1133.22
2025-05-12,1156.04,1154.1,1.94,1156.04,1154.1,1159.92,1154.1,1156.04,1150.22,False,False,No Trade,No Trade,1160.51,1102.93
2025-05-19,1164.0,1163.02,0.98,1164.0,1163.02,1165.96,1163.02,1164.0,1161.06,False,False,No Trade,No Trade,1191.31,1164.0
2025-06-11,1201.26,1199.3,1.96,1201.26,1199.3,1205.18,1199.3,1201.26,1195.38,True,True,SL,SL,1225.29,1195.55
2025-07-02,1301.49,1297.49,4.0,1301.49,1297.49,1309.49,1297.49,1301.49,1289.49,False,True,No Trade,SL,1305.0,1273.0
2025-07-28,1184.1,1183.5,0.6,1184.1,1183.5,1185.3,1183.5,1184.1,1182.3,True,True,TP,TP,1197.79,1177.46
2025-08-01,1160.33,1160.0,0.33,1160.33,1160.0,1160.99,1160.0,1160.33,1159.34,True,True,TP,TP,1178.51,1152.85
2025-08-07,1185.2,1184.55,0.65,1185.2,1184.55,1186.5,1184.55,1185.2,1183.25,True,True,TP,TP,1191.22,1172.72
2025-08-18,1234.0,1233.0,1.0,1234.0,1233.0,1236.0,1233.0,1234.0,1231.0,False,False,No Trade,No Trade,1251.16,1230.0
