symbol,opening_range,tp_multiplier,risk_pct,trades,wins,net_pnl,avg_return_pct,win_rate,No Exit,SL,TP
EURUSD=X,15m,2.0,0.02,1,1,400.0,4.0,1.0,0,0,1
GLD,15m,2.0,0.02,1,1,400.0,4.0,1.0,0,0,1
GC=F,15m,2.0,0.02,1,1,400.0,4.0,1.0,0,0,1
GC=F,15m,1.0,0.02,1,1,200.0,2.0,1.0,0,0,1
EURUSD=X,15m,1.0,0.02,1,1,200.0,2.0,1.0,0,0,1
GLD,15m,1.0,0.02,1,1,200.0,2.0,1.0,0,0,1
GC=F,15m,2.0,0.01,1,1,200.0,2.0,1.0,0,0,1
EURUSD=X,15m,2.0,0.01,1,1,200.0,2.0,1.0,0,0,1
GLD,15m,2.0,0.01,1,1,200.0,2.0,1.0,0,0,1
MSFT,15m,1.0,0.02,1,1,200.0,2.0,1.0,0,0,1
MSFT,15m,0.5,0.02,1,1,100.0,1.0,1.0,0,0,1
GC=F,15m,1.0,0.01,1,1,100.0,1.0,1.0,0,0,1
GLD,15m,0.5,0.02,1,1,100.0,1.0,1.0,0,0,1
GC=F,15m,0.5,0.02,1,1,100.0,1.0,1.0,0,0,1
EURUSD=X,15m,0.5,0.02,1,1,100.0,1.0,1.0,0,0,1
GLD,15m,1.0,0.01,1,1,100.0,1.0,1.0,0,0,1
TSLA,15m,0.5,0.02,2,1,100.0,0.5,0.5,1,0,1
MSFT,15m,1.0,0.01,1,1,100.0,1.0,1.0,0,0,1
EURUSD=X,15m,1.0,0.01,1,1,100.0,1.0,1.0,0,0,1
TSLA,15m,0.5,0.01,2,1,50.0,0.25,0.5,1,0,1
GC=F,15m,0.5,0.01,1,1,50.0,0.5,1.0,0,0,1
GLD,15m,0.5,0.01,1,1,50.0,0.5,1.0,0,0,1
MSFT,15m,0.5,0.01,1,1,50.0,0.5,1.0,0,0,1
EURUSD=X,15m,0.5,0.01,1,1,50.0,0.5,1.0,0,0,1
GOOGL,15m,2.0,0.02,1,0,0.0,0.0,0.0,1,0,0
GOOGL,15m,2.0,0.01,1,0,0.0,0.0,0.0,1,0,0
MSFT,15m,2.0,0.01,1,0,0.0,0.0,0.0,1,0,0
MSFT,15m,2.0,0.02,1,0,0.0,0.0,0.0,1,0,0
AMZN,15m,2.0,0.02,1,0,0.0,0.0,0.0,1,0,0
AMZN,15m,2.0,0.01,1,0,0.0,0.0,0.0,1,0,0
AMZN,15m,0.5,0.02,1,0,0.0,0.0,0.0,1,0,0
AMZN,15m,0.5,0.01,1,0,0.0,0.0,0.0,1,0,0
GOOGL,15m,1.0,0.01,1,0,0.0,0.0,0.0,1,0,0
GOOGL,15m,1.0,0.02,1,0,0.0,0.0,0.0,1,0,0
AMZN,15m,1.0,0.02,1,0,0.0,0.0,0.0,1,0,0
AMZN,15m,1.0,0.01,1,0,0.0,0.0,0.0,1,0,0
GOOGL,15m,0.5,0.01,1,0,0.0,0.0,0.0,1,0,0
GOOGL,15m,0.5,0.02,1,0,0.0,0.0,0.0,1,0,0
AAPL,15m,0.5,0.01,2,1,-50.0,-0.25,0.5,0,1,1
AAPL,15m,0.5,0.02,2,1,-100.0,-0.5,0.5,0,1,1
TSLA,15m,2.0,0.01,2,0,-100.0,-0.5,0.0,1,1,0
TSLA,15m,1.0,0.01,2,0,-100.0,-0.5,0.0,1,1,0
AAPL,15m,1.0,0.01,2,0,-100.0,-0.5,0.0,1,1,0
AAPL,15m,2.0,0.01,2,0,-100.0,-0.5,0.0,1,1,0
AAPL,15m,2.0,0.02,2,0,-200.0,-1.0,0.0,1,1,0
AAPL,15m,1.0,0.02,2,0,-200.0,-1.0,0.0,1,1,0
MNQ=F,15m,1.0,0.01,2,0,-200.0,-1.0,0.0,0,2,0
MNQ=F,15m,0.5,0.01,2,0,-200.0,-1.0,0.0,0,2,0
TSLA,15m,1.0,0.02,2,0,-200.0,-1.0,0.0,1,1,0
SPY,15m,2.0,0.01,2,0,-200.0,-1.0,0.0,0,2,0
NQ=F,15m,2.0,0.01,2,0,-200.0,-1.0,0.0,0,2,0
QQQ,15m,1.0,0.01,2,0,-200.0,-1.0,0.0,0,2,0
QQQ,15m,0.5,0.01,2,0,-200.0,-1.0,0.0,0,2,0
NQ=F,15m,1.0,0.01,2,0,-200.0,-1.0,0.0,0,2,0
MNQ=F,15m,2.0,0.01,2,0,-200.0,-1.0,0.0,0,2,0
NQ=F,15m,0.5,0.01,2,0,-200.0,-1.0,0.0,0,2,0
SPY,15m,1.0,0.01,2,0,-200.0,-1.0,0.0,0,2,0
QQQ,15m,2.0,0.01,2,0,-200.0,-1.0,0.0,0,2,0
TSLA,15m,2.0,0.02,2,0,-200.0,-1.0,0.0,1,1,0
SPY,15m,0.5,0.01,2,0,-200.0,-1.0,0.0,0,2,0
MNQ=F,15m,1.0,0.02,2,0,-400.0,-2.0,0.0,0,2,0
MNQ=F,15m,0.5,0.02,2,0,-400.0,-2.0,0.0,0,2,0
MNQ=F,15m,2.0,0.02,2,0,-400.0,-2.0,0.0,0,2,0
NQ=F,15m,1.0,0.02,2,0,-400.0,-2.0,0.0,0,2,0
QQQ,15m,0.5,0.02,2,0,-400.0,-2.0,0.0,0,2,0
NQ=F,15m,2.0,0.02,2,0,-400.0,-2.0,0.0,0,2,0
NQ=F,15m,0.5,0.02,2,0,-400.0,-2.0,0.0,0,2,0
QQQ,15m,2.0,0.02,2,0,-400.0,-2.0,0.0,0,2,0
SPY,15m,1.0,0.02,2,0,-400.0,-2.0,0.0,0,2,0
SPY,15m,0.5,0.02,2,0,-400.0,-2.0,0.0,0,2,0
QQQ,15m,1.0,0.02,2,0,-400.0,-2.0,0.0,0,2,0
SPY,15m,2.0,0.02,2,0,-400.0,-2.0,0.0,0,2,0
