date,symbol,opening_range,risk_pct,tp_multiplier,direction,triggered,outcome,pnl,return_pct,orb_high,orb_low,orb_range
2025-10-10,EURUSD=X,15m,0.01,2.0,long,True,TP,200.0,2.0,1.157273530960083,1.1566041707992554,0.0006693601608276367
2025-10-10,EURUSD=X,15m,0.01,2.0,short,False,No Trade,0.0,0.0,1.157273530960083,1.1566041707992554,0.0006693601608276367
2025-10-10,EURUSD=X,15m,0.01,1.0,long,True,TP,100.0,1.0,1.157273530960083,1.1566041707992554,0.0006693601608276367
2025-10-10,EURUSD=X,15m,0.01,1.0,short,False,No Trade,0.0,0.0,1.157273530960083,1.1566041707992554,0.0006693601608276367
2025-10-10,EURUSD=X,15m,0.01,0.5,long,True,TP,50.0,0.5,1.157273530960083,1.1566041707992554,0.0006693601608276367
2025-10-10,EURUSD=X,15m,0.01,0.5,short,False,No Trade,0.0,0.0,1.157273530960083,1.1566041707992554,0.0006693601608276367
2025-10-10,EURUSD=X,15m,0.02,2.0,long,True,TP,400.0,4.0,1.157273530960083,1.1566041707992554,0.0006693601608276367
2025-10-10,EURUSD=X,15m,0.02,2.0,short,False,No Trade,0.0,0.0,1.157273530960083,1.1566041707992554,0.0006693601608276367
2025-10-10,EURUSD=X,15m,0.02,1.0,long,True,TP,200.0,2.0,1.157273530960083,1.1566041707992554,0.0006693601608276367
2025-10-10,EURUSD=X,15m,0.02,1.0,short,False,No Trade,0.0,0.0,1.157273530960083,1.1566041707992554,0.0006693601608276367
2025-10-10,EURUSD=X,15m,0.02,0.5,long,True,TP,100.0,1.0,1.157273530960083,1.1566041707992554,0.0006693601608276367
2025-10-10,EURUSD=X,15m,0.02,0.5,short,False,No Trade,0.0,0.0,1.157273530960083,1.1566041707992554,0.0006693601608276367
