symbol,net_pnl,avg_return,win_rate,trades
GC=F,1200.0,1.0,0.8333333333333334,12
GLD,1200.0,1.0,0.8333333333333334,12
AAPL,1050.0,1.75,1.0,6
AMD,1050.0,1.75,1.0,6
GBPUSD=X,1050.0,1.75,1.0,6
AUDUSD=X,1050.0,1.75,1.0,6
BA,1050.0,1.75,1.0,6
EURUSD=X,1050.0,1.75,1.0,6
TSLA,1050.0,1.75,1.0,6
META,1050.0,1.75,1.0,6
JPM,450.0,0.75,0.6666666666666666,6
UNH,450.0,0.75,0.6666666666666666,6
XOM,450.0,0.75,0.6666666666666666,6
USDJPY=X,150.0,0.125,0.5,12
ES=F,150.0,0.125,0.5,12
AMZN,150.0,0.125,0.5,12
SPY,150.0,0.125,0.5,12
MES=F,150.0,0.125,0.5,12
MSFT,150.0,0.125,0.5,12
QQQ,150.0,0.125,0.5,12
GOOGL,-450.0,-0.375,0.3333333333333333,12
NVDA,-750.0,-0.625,0.3333333333333333,12
NFLX,-750.0,-0.625,0.16666666666666666,12
SI=F,-1350.0,-1.125,0.16666666666666666,12
CL=F,-1800.0,-1.5,0.0,12
HD,-1800.0,-1.5,0.0,12
