symbol,total_trades,wins,losses,win_rate,total_pnl,avg_win,avg_loss,profit_factor,final_capital,return_pct,max_drawdown,sharpe_ratio,period
AAPL,1042,678,364,0.6506717850287908,174623391.38166642,365729.1913915481,201486.2647851736,3.3809791313535533,174633391.38166636,1746233.9138166637,-5.880041168352134,3.954272393127842,Full 2 Years
AMZN,1035,646,389,0.6241545893719807,72067822.28215446,160596.08973573358,81432.52361729936,3.27506549475805,72077822.28215446,720678.2228215446,-6.793465209301007,3.887273815005504,Full 2 Years
COST,614,385,229,0.6270358306188925,2038923.2527256606,6636.014214739564,2253.0227945374313,4.951844167602567,2048923.2527256608,20389.23252725661,-7.7255305572079855,6.1213095809476465,Full 2 Years
DIA,1214,732,482,0.6029654036243822,155403780.7828012,322117.4587857139,166776.3465733222,2.9332146888714954,155413780.78280118,1554037.807828012,-9.615685639515481,3.5191712581158474,Full 2 Years
GOOGL,1013,624,389,0.6159921026653504,46612749.08568536,117905.4154671294,69306.50428227091,2.72894477528643,46622749.08568536,466127.49085685355,-6.932260199670116,3.6714131294930943,Full 2 Years
META,878,570,308,0.6492027334851936,36109176.524212226,86694.3249491231,43203.21005450627,3.7136313706704263,36119176.52421225,361091.76524212246,-5.880041168352156,4.556923219587636,Full 2 Years
MSFT,926,574,352,0.6198704103671706,25113901.941079214,60629.95190681007,27521.847879061825,3.5923518161326125,25123901.941079207,251139.01941079207,-6.793465209300992,4.343758239652133,Full 2 Years
NFLX,1148,712,436,0.6202090592334495,166050805.04943198,322429.06784949446,145685.07169589004,3.614203815555432,166060805.04943192,1660508.050494319,-11.440732023907534,3.781447190690888,Full 2 Years
QQQ,998,597,401,0.5981963927855711,24201158.75772316,58739.60000262699,27098.210583155,3.2271587515706273,24211158.757723156,242011.58757723155,-6.84900802692315,4.061815411929339,Full 2 Years
SPY,1014,560,454,0.5522682445759369,6820846.622773192,20459.14502000327,10212.05856482079,2.4711912533819453,6830846.622773193,68208.46622773193,-11.414333495289158,3.715243734665815,Full 2 Years
COST,68,38,30,0.5588235294117647,5698.652091811218,252.14936611335935,129.43412734988127,2.467581028406531,15698.652091811215,56.98652091811215,-5.880041168352125,6.9179600533884935,2023 Bull
DIA,209,120,89,0.5741626794258373,34010.158293295426,459.372078920108,237.24147390019704,2.610749603578103,44010.158293295426,340.1015829329543,-9.615685639515481,6.811977833725522,2023 Bull
NFLX,278,156,122,0.5611510791366906,54434.8075542414,607.2071475112461,330.2418644058442,2.35109141286091,64434.807554241386,544.3480755424139,-11.440732023907534,5.689873019173906,2023 Bull
AAPL,1042,678,364,0.6506717850287908,174623391.38166642,365729.1913915481,201486.2647851736,3.3809791313535533,174633391.38166636,1746233.9138166637,-5.880041168352134,3.954272393127842,Recent 2024
AMZN,1035,646,389,0.6241545893719807,72067822.28215446,160596.08973573358,81432.52361729936,3.27506549475805,72077822.28215446,720678.2228215446,-6.793465209301007,3.887273815005504,Recent 2024
COST,546,347,199,0.6355311355311355,1295158.7109153324,4672.446884823915,1639.0972769777177,4.970682717947551,1305158.710915333,12951.587109153328,-7.725530557207971,6.530490397983718,Recent 2024
DIA,1005,612,393,0.608955223880597,35303161.054109894,87522.44636306097,46464.570280110485,2.933299410815556,35313161.054109894,353031.6105410989,-8.648275251635921,3.8865235410979966,Recent 2024
GOOGL,1013,624,389,0.6159921026653504,46612749.08568536,117905.4154671294,69306.50428227091,2.72894477528643,46622749.08568536,466127.49085685355,-6.932260199670116,3.6714131294930943,Recent 2024
META,878,570,308,0.6492027334851936,36109176.524212226,86694.3249491231,43203.21005450627,3.7136313706704263,36119176.52421225,361091.76524212246,-5.880041168352156,4.556923219587636,Recent 2024
MSFT,926,574,352,0.6198704103671706,25113901.941079214,60629.95190681007,27521.847879061825,3.5923518161326125,25123901.941079207,251139.01941079207,-6.793465209300992,4.343758239652133,Recent 2024
NFLX,870,556,314,0.639080459770115,25761909.834547274,64053.02129806293,31374.426774444943,3.615005508338544,25771909.834547274,257619.09834547274,-6.849008026923123,4.381598156083123,Recent 2024
QQQ,998,597,401,0.5981963927855711,24201158.75772316,58739.60000262699,27098.210583155,3.2271587515706273,24211158.757723156,242011.58757723155,-6.84900802692315,4.061815411929339,Recent 2024
SPY,1014,560,454,0.5522682445759369,6820846.622773192,20459.14502000327,10212.05856482079,2.4711912533819453,6830846.622773193,68208.46622773193,-11.414333495289158,3.715243734665815,Recent 2024
