symbol,orb_duration,interval,tp_multiplier,risk_per_trade,return_pct,win_rate,profit_factor,return_pct_orb5,return_pct_orb15,return_pct_diff_5_minus_15
MNQ=F,15,5m,2.0,0.01,28.477466999999635,0.6097560975609756,2.710355091209376,17.657433999999267,28.477466999999635,-10.820033000000368
MNQ=F,5,5m,2.0,0.01,17.657433999999267,0.4923076923076923,1.713357718145211,17.657433999999267,28.477466999999635,-10.820033000000368
NQ=F,15,5m,1.0,0.01,17.29746099999957,0.6607142857142857,1.9485837649474145,16.974955999999512,17.29746099999957,-0.32250500000005644
NQ=F,5,5m,1.0,0.01,16.974955999999512,0.6764705882352942,2.034740047024501,16.974955999999512,17.29746099999957,-0.32250500000005644
TSLA,5,5m,0.5,0.02,16.224524612549157,0.759493670886076,1.6011398639022654,16.224524612549157,6.573938802978828,9.650585809570329
GLD,15,15m,2.0,0.01,13.848365351074484,0.5737704918032787,2.6003148937384823,6.7075000322271805,13.848365351074484,-7.140865318847304
QQQ,15,5m,2.0,0.01,10.588346595703204,0.4696969696969697,1.7913606719058444,8.834195942382813,10.588346595703204,-1.7541506533203908
QQQ,5,5m,0.5,0.01,8.834195942382813,0.9058823529411764,5.069773266691223,8.834195942382813,10.588346595703204,-1.7541506533203908
GC=F,15,15m,2.0,0.01,8.117935812499855,0.6410256410256411,3.34077260361771,4.683870374999769,8.117935812499855,-3.4340654375000863
GLD,5,5m,2.0,0.01,6.7075000322271805,0.5,1.7601719074893845,6.7075000322271805,13.848365351074484,-7.140865318847304
TSLA,15,5m,0.5,0.02,6.573938802978828,0.7142857142857143,1.181483262269276,16.224524612549157,6.573938802978828,9.650585809570329
GC=F,5,5m,2.0,0.01,4.683870374999769,0.5333333333333333,2.1457245386893398,4.683870374999769,8.117935812499855,-3.4340654375000863
SPY,5,5m,0.5,0.01,3.1932054497072206,0.8089887640449438,2.2107428474742026,3.1932054497072206,2.4097669687503918,0.7834384809568289
MSFT,5,5m,0.5,0.02,2.9638030095217616,0.7051282051282052,1.215417127745435,2.9638030095217616,-2.749239679443126,5.7130426889648875
SPY,15,5m,1.0,0.01,2.4097669687503918,0.5421686746987951,1.2997388979147804,3.1932054497072206,2.4097669687503918,0.7834384809568289
AMZN,15,15m,0.5,0.02,2.267899773925783,0.6909090909090909,1.127297959108113,1.8436158007810264,2.267899773925783,-0.4242839731447565
EURUSD=X,5,5m,2.0,0.01,2.1698427153474404,0.5483870967741935,1.6421304677189292,2.1698427153474404,1.4290488767681928,0.7407938385792476
AMZN,5,5m,0.5,0.01,1.8436158007810264,0.6875,1.105177863302515,1.8436158007810264,2.267899773925783,-0.4242839731447565
EURUSD=X,15,5m,1.0,0.01,1.4290488767681928,0.6590909090909091,1.4022753228652654,2.1698427153474404,1.4290488767681928,0.7407938385792476
AAPL,5,5m,0.5,0.01,0.3572492559812963,0.6829268292682927,1.018314806926372,0.3572492559812963,-6.260699919189537,6.617949175170833
GOOGL,15,15m,0.5,0.01,-0.0153060449218901,0.6666666666666666,0.9991625670682645,-7.209872714965932,-0.0153060449218901,-7.194566670044042
MSFT,15,15m,0.5,0.01,-2.749239679443126,0.6440677966101694,0.8214456558144295,2.9638030095217616,-2.749239679443126,5.7130426889648875
AAPL,15,5m,1.0,0.01,-6.260699919189537,0.4415584415584415,0.804936184735879,0.3572492559812963,-6.260699919189537,6.617949175170833
GOOGL,5,5m,0.5,0.01,-7.209872714965932,0.6144578313253012,0.7250709151448766,-7.209872714965932,-0.0153060449218901,-7.194566670044042
