symbol,category,interval,orb_duration,tp_multiplier,risk_per_trade,return_pct,win_rate,profit_factor,total_trades,max_drawdown
MNQ=F,futures,5m,15,2.0,0.01,28.477466999999635,0.6097560975609756,2.710355091209376,41,-361.5004000000045
NQ=F,futures,5m,15,1.0,0.01,17.29746099999957,0.6607142857142857,1.9485837649474145,56,-375.7514000000156
TSLA,stocks,5m,5,0.5,0.02,16.224524612549157,0.759493670886076,1.6011398639022654,79,-744.1217632079934
GLD,commodities,15m,15,2.0,0.01,13.848365351074484,0.5737704918032787,2.6003148937384823,61,-167.78851235350066
QQQ,stocks,5m,15,2.0,0.01,10.588346595703204,0.4696969696969697,1.7913606719058444,66,-261.13172216796147
GC=F,commodities,15m,15,2.0,0.01,8.117935812499855,0.6410256410256411,3.34077260361771,39,-92.20057460937824
SPY,stocks,5m,5,0.5,0.01,3.1932054497072206,0.8089887640449438,2.2107428474742026,89,-31.802926757811747
MSFT,stocks,5m,5,0.5,0.02,2.9638030095217616,0.7051282051282052,1.215417127745435,78,-339.8773784179557
AMZN,stocks,15m,15,0.5,0.02,2.267899773925783,0.6909090909090909,1.127297959108113,55,-367.6031102294958
EURUSD=X,forex,5m,5,2.0,0.01,2.1698427153474404,0.5483870967741935,1.6421304677189292,93,-78.96577779084026
AAPL,stocks,5m,5,0.5,0.01,0.3572492559812963,0.6829268292682927,1.018314806926372,82,-655.9988137695362
GOOGL,stocks,15m,15,0.5,0.01,-0.0153060449218901,0.6666666666666666,0.9991625670682645,60,-858.1351370849657
