interval,orb_duration,tp_multiplier,risk_per_trade,avg_return,median_return,avg_profit_factor,positive_symbols,total_symbols,positive_ratio
15m,15,0.5,0.01,78.3249671822229,77.40622150000173,1.7461045331605243,9,9,1.0
15m,15,0.5,0.02,101.95130128722303,94.71972450000099,1.7285173102135927,9,9,1.0
15m,15,1.0,0.01,75.0066946411121,53.07695100000092,1.4898227964732083,9,9,1.0
15m,15,1.0,0.02,96.39991529444553,76.58252000000107,1.475217523660075,9,9,1.0
15m,15,2.0,0.01,46.6922290366675,40.322033000001866,1.359025334148476,9,9,1.0
15m,15,2.0,0.02,59.219928204445345,52.74185600000126,1.3599686027206772,9,9,1.0
5m,5,0.5,0.01,72.90097474555643,61.631581500001154,1.5679949074754052,9,9,1.0
5m,5,0.5,0.02,84.91668684111215,71.8845885000017,1.5449618461633465,9,9,1.0
5m,5,1.0,0.01,75.09599885444568,71.07405000000236,1.3961712997362024,9,9,1.0
5m,5,1.0,0.02,84.17181131333467,75.36658100000298,1.3787832935787692,9,9,1.0
5m,5,2.0,0.01,61.28059288000125,52.04954500000196,1.316900345893685,9,9,1.0
5m,5,2.0,0.02,71.74301291333472,56.46360800000221,1.3207407191131777,9,9,1.0
5m,15,0.5,0.01,59.238983125000814,56.87695800000163,1.4875353278238639,9,9,1.0
5m,15,0.5,0.02,72.46317845722308,77.60830900000194,1.467616315144185,9,9,1.0
5m,15,1.0,0.01,52.043112095556516,34.62804200000099,1.2996497324918765,9,9,1.0
5m,15,1.0,0.02,60.92146676666773,46.5625400000013,1.2852180141580491,9,9,1.0
5m,15,2.0,0.01,39.672683960001,33.28697900000152,1.2686988393105147,9,9,1.0
5m,15,2.0,0.02,48.23350886333441,37.222300000001304,1.265812755178862,9,9,1.0
