interval,orb_duration,tp_multiplier,risk_per_trade,avg_return,median_return,avg_profit_factor,positive_symbols,total_symbols,positive_ratio
15m,15,0.5,0.01,48.2161610920837,36.119990500001265,1.703376163722136,12,12,1.0
15m,15,0.5,0.02,57.50274825125043,39.0856500000001,1.678501658428848,12,12,1.0
15m,15,1.0,0.01,55.81800321916729,47.13571150000065,1.5547985112298315,12,12,1.0
15m,15,1.0,0.02,67.67504645333396,54.60140750000197,1.5376190794683973,12,12,1.0
15m,15,2.0,0.01,43.61785469416736,44.31680000000126,1.4630318992756963,12,12,1.0
15m,15,2.0,0.02,53.36190790333402,50.26717700000122,1.4513628054902952,12,12,1.0
5m,5,0.5,0.01,49.91186268125051,39.25337625000027,1.684088098916759,12,12,1.0
5m,5,0.5,0.02,56.48229253875062,44.65618425000039,1.6584270154190677,12,12,1.0
5m,5,1.0,0.01,54.014797218334174,32.376916000000534,1.4040615054659253,12,12,1.0
5m,5,1.0,0.02,59.81507072333423,35.33945150000055,1.3873089876709512,12,12,1.0
5m,5,2.0,0.01,51.90237881500119,36.64837250000195,1.3763368698614862,12,12,1.0
5m,5,2.0,0.02,59.08311631666788,46.56608000000068,1.3796964379839085,11,12,0.9166666666666666
5m,15,0.5,0.01,38.18703779916715,25.523655750000273,1.485732401590522,12,12,1.0
5m,15,0.5,0.02,43.54882821500044,27.032160250000672,1.453672751282966,12,12,1.0
5m,15,1.0,0.01,39.90680839916728,29.345326500000986,1.3414429793736433,12,12,1.0
5m,15,1.0,0.02,43.994552146667324,28.49551350000109,1.3191218536960065,12,12,1.0
5m,15,2.0,0.01,35.208705720000836,33.82127000000268,1.3416747084494098,12,12,1.0
5m,15,2.0,0.02,42.18839498083419,37.86061600000153,1.3401454487090332,11,12,0.9166666666666666
