symbol,name,category,interval,orb_duration,tp_multiplier,risk_per_trade,avg_return,median_return,avg_profit_factor,total_trades
ADBE,ADBE,stocks,15m,15,0.5,0.01,94.97985850000117,94.97985850000117,1.7082291925543767,446
ADBE,ADBE,stocks,15m,15,0.5,0.02,146.1634995000018,146.1634995000018,1.700965699086856,446
ADBE,ADBE,stocks,15m,15,1.0,0.01,92.38447200000167,92.38447200000167,1.4943494811658036,334
ADBE,ADBE,stocks,15m,15,1.0,0.02,133.58659200000267,133.58659200000267,1.4606242317195182,334
ADBE,ADBE,stocks,15m,15,2.0,0.01,30.649628000001012,30.649628000001012,1.2452142282302623,198
ADBE,ADBE,stocks,15m,15,2.0,0.02,52.74185600000126,52.74185600000126,1.288126531191952,198
ADBE,ADBE,stocks,5m,5,0.5,0.01,94.87274700000202,94.87274700000202,1.5330974657470389,579
ADBE,ADBE,stocks,5m,5,0.5,0.02,114.59265600000262,114.59265600000262,1.477671359450792,579
ADBE,ADBE,stocks,5m,5,1.0,0.01,71.07405000000236,71.07405000000236,1.2759514716495663,483
ADBE,ADBE,stocks,5m,5,1.0,0.02,75.36658100000298,75.36658100000298,1.2269022215066496,483
ADBE,ADBE,stocks,5m,5,2.0,0.01,53.591180000001934,53.591180000001934,1.2532877242088285,321
ADBE,ADBE,stocks,5m,5,2.0,0.02,72.24237400000239,72.24237400000239,1.263726698810684,321
ADBE,ADBE,stocks,5m,15,0.5,0.01,56.87695800000163,56.87695800000163,1.3816677612465462,497
ADBE,ADBE,stocks,5m,15,0.5,0.02,77.60830900000194,77.60830900000194,1.3692169943881163,497
ADBE,ADBE,stocks,5m,15,1.0,0.01,59.7770950000021,59.7770950000021,1.2952358899748586,377
ADBE,ADBE,stocks,5m,15,1.0,0.02,75.25802800000248,75.25802800000248,1.2678771824331323,377
ADBE,ADBE,stocks,5m,15,2.0,0.01,33.28697900000152,33.28697900000152,1.210741010163785,258
ADBE,ADBE,stocks,5m,15,2.0,0.02,52.31193900000181,52.31193900000181,1.23812609746583,258
COST,COST,stocks,15m,15,0.5,0.01,35.47915550000078,35.47915550000078,1.3213107208399144,450
COST,COST,stocks,15m,15,0.5,0.02,44.46066200000083,44.46066200000083,1.34632883734156,450
COST,COST,stocks,15m,15,1.0,0.01,49.12407500000091,49.12407500000091,1.3175361659010638,366
COST,COST,stocks,15m,15,1.0,0.02,59.362869000001176,59.362869000001176,1.320852470948372,366
COST,COST,stocks,15m,15,2.0,0.01,23.140508000000683,23.140508000000683,1.214962659279057,195
COST,COST,stocks,15m,15,2.0,0.02,27.33890600000068,27.33890600000068,1.2110773763264522,195
COST,COST,stocks,5m,5,0.5,0.01,54.978802000000904,54.978802000000904,1.4509033394884967,585
COST,COST,stocks,5m,5,0.5,0.02,59.51045100000098,59.51045100000098,1.4335099516660195,585
COST,COST,stocks,5m,5,1.0,0.01,97.64645800000152,97.64645800000152,1.5172394590336178,510
COST,COST,stocks,5m,5,1.0,0.02,111.04151200000135,111.04151200000135,1.505889389866259,510
COST,COST,stocks,5m,5,2.0,0.01,37.246541000001415,37.246541000001415,1.2236479946741354,320
COST,COST,stocks,5m,5,2.0,0.02,52.46208100000149,52.46208100000149,1.2671405247425855,320
COST,COST,stocks,5m,15,0.5,0.01,22.418701000000908,22.418701000000908,1.1793053410973973,496
COST,COST,stocks,5m,15,0.5,0.02,27.227468500000835,27.227468500000835,1.1876718933335138,496
COST,COST,stocks,5m,15,1.0,0.01,28.82889900000104,28.82889900000104,1.1845808095201464,399
COST,COST,stocks,5m,15,1.0,0.02,25.515054000001037,25.515054000001037,1.1411933885642693,399
COST,COST,stocks,5m,15,2.0,0.01,20.54151300000109,20.54151300000109,1.155725292888119,231
COST,COST,stocks,5m,15,2.0,0.02,27.45249200000115,27.45249200000115,1.1732086045100687,231
DIA,DIA,stocks,15m,15,0.5,0.01,37.058651000002115,37.058651000002115,1.6147890415455428,587
DIA,DIA,stocks,15m,15,0.5,0.02,38.49342200000205,38.49342200000205,1.6357397392321906,587
