symbol,name,category,interval,orb_duration,tp_multiplier,risk_per_trade,total_trades,win_rate,profit_factor,return_pct,max_drawdown,total_pnl,data_points,start,end
AAPL,AAPL,stocks,5m,5,2.0,0.02,170,0.3941176470588235,1.3596987404593852,44.33955799999967,-1220.4566000000068,4433.955799999955,45993,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
AAPL,AAPL,stocks,15m,15,0.5,0.02,226,0.7522123893805309,1.523376568436244,38.82262199999992,-644.5780500000042,3882.2621999999824,16073,2024-08-09 08:00:00+00:00,2025-08-09 00:00:00+00:00
AAPL,AAPL,stocks,5m,5,1.0,0.02,241,0.5809128630705395,1.329627309571236,38.526063999999586,-1139.9769000000074,3852.606399999951,45993,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
AAPL,AAPL,stocks,5m,5,0.5,0.02,299,0.745819397993311,1.4343580082293466,36.62924099999966,-891.8909000000062,3662.924099999968,45993,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
AAPL,AAPL,stocks,15m,15,0.5,0.01,226,0.7522123893805309,1.496644793875415,28.269416499999934,-424.94500000000244,2826.9416499999843,16073,2024-08-09 08:00:00+00:00,2025-08-09 00:00:00+00:00
AAPL,AAPL,stocks,15m,15,2.0,0.02,110,0.37272727272727274,1.194171899904789,18.303538999999798,-1333.4732000000067,1830.353899999976,16073,2024-08-09 08:00:00+00:00,2025-08-09 00:00:00+00:00
AMZN,AMZN,stocks,15m,15,2.0,0.02,148,0.44594594594594594,1.606074752629171,91.67392099999965,-1274.4477000000006,9167.392099999972,16062,2024-08-09 08:00:00+00:00,2025-08-09 00:00:00+00:00
AMZN,AMZN,stocks,15m,15,1.0,0.02,206,0.5922330097087378,1.4351998595835842,59.74062499999982,-1670.8832000000057,5974.062499999982,16062,2024-08-09 08:00:00+00:00,2025-08-09 00:00:00+00:00
AMZN,AMZN,stocks,15m,15,2.0,0.01,148,0.44594594594594594,1.5709279739049526,57.4480989999998,-669.9502999999959,5744.809899999984,16062,2024-08-09 08:00:00+00:00,2025-08-09 00:00:00+00:00
AMZN,AMZN,stocks,5m,5,0.5,0.01,306,0.7712418300653595,1.6556118670576863,47.83630749999975,-642.8660000000032,4783.630749999987,45895,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
AMZN,AMZN,stocks,5m,15,2.0,0.02,167,0.39520958083832336,1.3336766503350599,47.66749099999963,-1000.1288999999997,4766.749099999956,45895,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
AMZN,AMZN,stocks,5m,5,2.0,0.02,202,0.400990099009901,1.3071862838820463,47.574602999999605,-1205.0290000000064,4757.460299999959,45895,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
COST,COST,stocks,5m,5,1.0,0.02,510,0.6078431372549019,1.505889389866259,111.04151200000135,-1484.556199999981,11104.151200000138,47234,2023-09-27 08:00:00+00:00,2025-09-25 23:55:00+00:00
COST,COST,stocks,5m,5,1.0,0.01,510,0.6078431372549019,1.5172394590336178,97.64645800000152,-873.1363999999894,9764.645800000126,47234,2023-09-27 08:00:00+00:00,2025-09-25 23:55:00+00:00
COST,COST,stocks,5m,5,0.5,0.02,585,0.7521367521367521,1.4335099516660195,59.51045100000098,-594.2770499999897,5951.045100000085,47234,2023-09-27 08:00:00+00:00,2025-09-25 23:55:00+00:00
COST,COST,stocks,15m,15,1.0,0.02,366,0.5792349726775956,1.320852470948372,59.362869000001176,-1498.1199999999653,5936.28690000011,18680,2023-09-27 08:00:00+00:00,2025-09-26 00:00:00+00:00
COST,COST,stocks,15m,15,1.0,0.01,366,0.5792349726775956,1.3175361659010638,49.12407500000091,-1066.699599999983,4912.407500000097,18680,2023-09-27 08:00:00+00:00,2025-09-26 00:00:00+00:00
COST,COST,stocks,15m,15,0.5,0.02,450,0.7311111111111112,1.34632883734156,44.46066200000083,-938.9972999999845,4446.066200000087,18680,2023-09-27 08:00:00+00:00,2025-09-26 00:00:00+00:00
DIA,DIA,stocks,15m,15,2.0,0.02,424,0.41745283018867924,1.4806773498753627,57.01649800000372,-801.5924999999331,5701.649800000379,25939,2023-08-10 08:00:00+00:00,2025-08-09 00:00:00+00:00
DIA,DIA,stocks,15m,15,1.0,0.02,535,0.6056074766355141,1.5327944399998705,53.100822000003014,-531.3131999999746,5310.0822000003145,25939,2023-08-10 08:00:00+00:00,2025-08-09 00:00:00+00:00
DIA,DIA,stocks,15m,15,2.0,0.01,424,0.41745283018867924,1.4458932747393367,52.15746600000366,-801.5924999999331,5215.746600000377,25939,2023-08-10 08:00:00+00:00,2025-08-09 00:00:00+00:00
DIA,DIA,stocks,5m,5,2.0,0.02,593,0.3996627318718381,1.2922842626230246,36.68059000000507,-696.8064999999633,3668.0590000005272,62874,2023-08-10 08:00:00+00:00,2025-08-08 23:50:00+00:00
DIA,DIA,stocks,5m,5,2.0,0.01,593,0.3996627318718381,1.2839477297606439,35.4956830000051,-696.8064999999633,3549.568300000526,62874,2023-08-10 08:00:00+00:00,2025-08-08 23:50:00+00:00
DIA,DIA,stocks,5m,15,1.0,0.02,602,0.5647840531561462,1.3108525559964863,34.00965200000361,-648.5501999999717,3400.9652000003616,62874,2023-08-10 08:00:00+00:00,2025-08-08 23:50:00+00:00
GOOGL,GOOGL,stocks,15m,15,1.0,0.02,175,0.6857142857142857,2.123032860843963,119.35212199999977,-742.4408000000003,11935.212199999974,15981,2024-08-09 08:00:00+00:00,2025-08-09 00:00:00+00:00
GOOGL,GOOGL,stocks,5m,15,1.0,0.02,214,0.6308411214953271,1.6902529479892345,85.5257079999998,-1080.8026000000061,8552.570799999972,44735,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
GOOGL,GOOGL,stocks,15m,15,1.0,0.01,175,0.6857142857142857,2.244903656712642,83.4308959999998,-486.2701000000061,8343.089599999985,15981,2024-08-09 08:00:00+00:00,2025-08-09 00:00:00+00:00
GOOGL,GOOGL,stocks,15m,15,2.0,0.02,88,0.5113636363636364,1.8395351668054887,67.47242299999986,-748.6257999999998,6747.242299999984,15981,2024-08-09 08:00:00+00:00,2025-08-09 00:00:00+00:00
GOOGL,GOOGL,stocks,5m,5,2.0,0.02,146,0.4520547945205479,1.5882277264017564,64.39126099999969,-1337.1212000000014,6439.126099999981,44735,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
GOOGL,GOOGL,stocks,5m,15,1.0,0.01,214,0.6308411214953271,1.7213334552581787,63.90299499999986,-792.160600000004,6390.299499999983,44735,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
META,META,stocks,15m,15,1.0,0.02,183,0.6229508196721312,1.464151494526311,56.101993000000924,-1536.561099999976,5610.199300000084,15373,2024-08-09 08:00:00+00:00,2025-08-09 00:00:00+00:00
META,META,stocks,15m,15,1.0,0.01,183,0.6229508196721312,1.5912899461457457,47.696465000000536,-802.8208999999877,4769.646500000064,15373,2024-08-09 08:00:00+00:00,2025-08-09 00:00:00+00:00
META,META,stocks,5m,5,0.5,0.02,301,0.7508305647840532,1.407782056889987,42.0350430000009,-962.7364999999891,4203.504300000073,40360,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
META,META,stocks,15m,15,0.5,0.02,221,0.751131221719457,1.46158160958996,38.32958500000051,-694.7334499999903,3832.958500000049,15373,2024-08-09 08:00:00+00:00,2025-08-09 00:00:00+00:00
META,META,stocks,5m,5,0.5,0.01,301,0.7508305647840532,1.424357750507661,33.51416300000075,-695.0814999999925,3351.4163000000626,40360,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
