interval,orb_duration,tp_multiplier,risk_per_trade,avg_return,median_return,avg_profit_factor,positive_symbols,total_symbols,positive_ratio
15m,15,0.5,0.01,38.731095397500546,32.406682750000655,1.6550487748869795,10,10,1.0
15m,15,0.5,0.02,48.557830623000584,38.576103500000215,1.6344171830000591,10,10,1.0
15m,15,1.0,0.01,47.46206140900078,47.13571150000065,1.560511832351867,10,10,1.0
15m,15,1.0,0.02,60.098503674000845,54.60140750000197,1.5424636921053,10,10,1.0
15m,15,2.0,0.01,38.54062140000085,44.31680000000126,1.4751615019051474,10,10,1.0
15m,15,2.0,0.02,47.81816750000089,50.26717700000122,1.457971624387292,10,10,1.0
5m,5,0.5,0.01,46.9620534975007,39.25337625000027,1.6932662595668924,10,10,1.0
5m,5,0.5,0.02,54.59052106950078,44.65618425000039,1.6659434917645626,10,10,1.0
5m,5,1.0,0.01,46.5903465020011,32.376916000000534,1.3903952575830227,10,10,1.0
5m,5,1.0,0.02,53.716792053001186,35.33945150000055,1.3737714524726443,10,10,1.0
5m,5,2.0,0.01,40.61846320400146,35.77294350000379,1.3680695577370412,10,10,1.0
5m,5,2.0,0.02,47.46063102000149,44.94855750000072,1.3679770429703404,9,10,0.9
5m,15,0.5,0.01,31.296457501000624,23.697839999999744,1.4577901887066496,10,10,1.0
5m,15,0.5,0.02,37.42022938000061,26.718301750000677,1.428033968345145,10,10,1.0
5m,15,1.0,0.01,32.37070391600089,29.168382500000952,1.3370279256772863,10,10,1.0
5m,15,1.0,0.02,36.708708688000954,28.61330550000098,1.3130904369020684,10,10,1.0
5m,15,2.0,0.01,32.27278740000106,33.82127000000268,1.3584142695016275,10,10,1.0
5m,15,2.0,0.02,39.498538800001086,37.86061600000153,1.3551111116422603,9,10,0.9
