interval,orb_duration,tp_multiplier,risk_per_trade,avg_return,median_return,avg_profit_factor,positive_symbols,total_symbols,positive_ratio
15m,15,0.5,0.01,0.9797979582954365,2.008517799682677,1.348410411549268,8,12,0.6666666666666666
15m,15,0.5,0.02,0.25984016651686487,2.178427099365308,1.318069223090679,8,12,0.6666666666666666
15m,15,1.0,0.01,-0.8918237335611563,0.8089556884767626,1.1863784842036884,7,12,0.5833333333333334
15m,15,1.0,0.02,-2.728991092610624,0.8089556884767626,1.1695407835879787,7,12,0.5833333333333334
15m,15,2.0,0.01,-1.2257455750887525,0.7104756642134998,1.3478673508368864,7,12,0.5833333333333334
15m,15,2.0,0.02,-3.8275466749015585,0.7104756642134998,1.3285679733342228,7,12,0.5833333333333334
5m,5,0.5,0.01,4.974249057559261,3.061594828369207,2.391501516852761,11,12,0.9166666666666666
5m,5,0.5,0.02,5.149529112551941,3.078504229614491,2.387826566285798,10,12,0.8333333333333334
5m,5,1.0,0.01,3.0872750115154672,2.0165741943360627,1.4359137264405801,10,12,0.8333333333333334
5m,5,1.0,0.02,2.61285482029234,1.8671094930428629,1.4224330275015984,9,12,0.75
5m,5,2.0,0.01,1.1553309313774527,1.798680844490418,1.3158066296107596,8,12,0.6666666666666666
5m,5,2.0,0.02,0.24116081300995726,1.798680844490418,1.3087503609163915,7,12,0.5833333333333334
5m,15,0.5,0.01,1.3906030385091617,1.8678975539551446,1.3773477533581735,8,12,0.6666666666666666
5m,15,0.5,0.02,0.48096386724451023,1.8678975539551446,1.354842215381284,8,12,0.6666666666666666
5m,15,1.0,0.01,1.4902374363860071,1.6044809969777636,1.2755335647150712,7,12,0.5833333333333334
5m,15,1.0,0.02,0.5014540283049631,1.6044809969777636,1.2651976042866855,8,12,0.6666666666666666
5m,15,2.0,0.01,1.6726012836784765,1.023432249678026,1.4324434499414942,7,12,0.5833333333333334
5m,15,2.0,0.02,-0.5015621955085153,1.023432249678026,1.414267469412673,7,12,0.5833333333333334
