interval,orb_duration,tp_multiplier,risk_per_trade,avg_return,median_return,avg_profit_factor,positive_symbols,total_symbols,positive_ratio
15m,15,0.5,0.01,0.32663774995458167,1.5005556773681927,1.3668122238396525,6,10,0.6
15m,15,0.5,0.02,-0.5373116001797043,1.460764387939562,1.3304027976893456,6,10,0.6
15m,15,1.0,0.01,-3.765181880273315,-3.2413362705077726,1.0850426230232157,5,10,0.5
15m,15,1.0,0.02,-5.969782711132676,-5.005740737060532,1.0648373822843642,5,10,0.5
15m,15,2.0,0.01,-5.001638290106431,-1.225434656127645,1.2325020435559666,5,10,0.5
15m,15,2.0,0.02,-8.123799609881798,-3.1447644610593217,1.2093427905527705,5,10,0.5
5m,5,0.5,0.01,2.8868522690711504,2.3868000039061097,2.199296995666978,9,10,0.9
5m,5,0.5,0.02,3.097188335062367,2.9468936082764774,2.194887054986623,8,10,0.8
5m,5,1.0,0.01,0.32598881381865824,1.8297628983166034,1.3160818330486015,8,10,0.8
5m,5,1.0,0.02,-0.24331541564909456,1.4133856185314562,1.2999049943218235,7,10,0.7
5m,5,2.0,0.01,-1.7945897823469117,0.7721182214361124,1.2427352745542177,6,10,0.6
5m,5,2.0,0.02,-2.891593924387906,-0.1857389528806106,1.234267752120976,5,10,0.5
5m,15,0.5,0.01,-0.6786463537889501,1.2688847472901124,1.2558664591540774,6,10,0.6
5m,15,0.5,0.02,-1.7702133593065317,1.2688847472901124,1.22885981358181,6,10,0.6
5m,15,1.0,0.01,-1.7857076763367092,0.6249743734428467,1.1277577203358278,5,10,0.5
5m,15,1.0,0.02,-2.972247766033962,0.9255221625054493,1.115354567821765,6,10,0.6
5m,15,2.0,0.01,-2.553871459585751,0.1546989582959395,1.2524380508678583,5,10,0.5
5m,15,2.0,0.02,-5.162867634610141,-2.2560639671188527,1.2306268742332729,5,10,0.5
