symbol,name,category,interval,orb_duration,tp_multiplier,risk_per_trade,total_trades,win_rate,profit_factor,return_pct,max_drawdown,total_pnl
MNQ=F,Micro Nasdaq,futures,5m,5,2.0,0.01,65,0.49230769230769234,1.7133577181452113,17.657433999999267,-430.5008000000089,1765.7433999999266
NQ=F,Nasdaq Futures,futures,5m,5,2.0,0.01,58,0.4482758620689655,1.6489690916417266,14.152434999999278,-315.0016000000178,1415.2434999999277
EURUSD=X,EUR/USD,forex,5m,5,2.0,0.01,93,0.5483870967741935,1.6421304677189292,2.1698427153474404,-78.96577779084026,216.98427153474668
GC=F,Gold,commodities,5m,5,2.0,0.01,60,0.5333333333333333,2.1457245386893393,4.683870374999769,-65.60218593750324,468.38703749997694
GLD,Gold ETF,commodities,5m,5,2.0,0.01,82,0.5,1.7601719074893845,6.7075000322271805,-250.3706037109132,670.750003222716
AAPL,Apple,stocks,5m,5,2.0,0.01,81,0.2962962962962963,0.845837105701026,-5.918616135254087,-1634.920028198264,-591.8616135254107
MSFT,Microsoft,stocks,5m,5,2.0,0.01,78,0.34615384615384615,1.0039646573967758,0.11671746923882893,-742.9521857421748,11.67174692387539
GOOGL,Google,stocks,5m,5,2.0,0.01,78,0.21794871794871795,0.4635144314438215,-24.135316853027362,-2948.5642343994214,-2413.5316853027425
AMZN,Amazon,stocks,5m,5,2.0,0.01,78,0.32051282051282054,0.9230803628565966,-2.7675598327638,-1172.6263213378961,-276.75598327637067
TSLA,Tesla,stocks,5m,5,2.0,0.01,79,0.3037974683544304,0.823392123644104,-8.781330543456498,-2029.507442333962,-878.1330543456454
SPY,S&P 500 ETF,stocks,5m,5,2.0,0.01,87,0.3793103448275862,1.1607054006169137,1.427518973633396,-148.49001181638732,142.75189736332277
QQQ,Nasdaq ETF,stocks,5m,5,2.0,0.01,84,0.4523809523809524,1.6588317499852863,8.551475975586017,-192.92573994140002,855.1475975586345
MNQ=F,Micro Nasdaq,futures,5m,5,2.0,0.02,65,0.49230769230769234,1.7133577181452113,17.657433999999267,-430.5008000000089,1765.7433999999266
NQ=F,Nasdaq Futures,futures,5m,5,2.0,0.02,58,0.4482758620689655,1.6489690916417266,14.152434999999278,-315.0016000000178,1415.2434999999277
EURUSD=X,EUR/USD,forex,5m,5,2.0,0.02,93,0.5483870967741935,1.6421304677189292,2.1698427153474404,-78.96577779084026,216.98427153474668
GC=F,Gold,commodities,5m,5,2.0,0.02,60,0.5333333333333333,2.1457245386893393,4.683870374999769,-65.60218593750324,468.38703749997694
GLD,Gold ETF,commodities,5m,5,2.0,0.02,82,0.5,1.7601719074893845,6.7075000322271805,-250.3706037109132,670.750003222716
AAPL,Apple,stocks,5m,5,2.0,0.02,81,0.2962962962962963,0.865771860764893,-5.622226981445529,-1775.904681201192,-562.2226981445502
MSFT,Microsoft,stocks,5m,5,2.0,0.02,78,0.34615384615384615,0.9425165349990263,-1.8076937377924331,-844.1216258788938,-180.76937377924952
GOOGL,Google,stocks,5m,5,2.0,0.02,78,0.21794871794871795,0.41424429464323576,-29.2159546716309,-3444.746994482432,-2921.595467163096
AMZN,Amazon,stocks,5m,5,2.0,0.02,78,0.32051282051282054,0.9553622913278043,-1.7989968793946172,-1344.1979375244275,-179.89968793945832
TSLA,Tesla,stocks,5m,5,2.0,0.02,79,0.3037974683544304,0.7972184749749476,-14.011275045409382,-3074.7629479003454,-1401.1275045409395
SPY,S&P 500 ETF,stocks,5m,5,2.0,0.02,87,0.3793103448275862,1.1607054006169137,1.427518973633396,-148.49001181638732,142.75189736332277
QQQ,Nasdaq ETF,stocks,5m,5,2.0,0.02,84,0.4523809523809524,1.6588317499852863,8.551475975586017,-192.92573994140002,855.1475975586345
MNQ=F,Micro Nasdaq,futures,5m,5,1.0,0.01,71,0.6901408450704225,2.0354063397764466,16.81245599999951,-228.00040000000445,1681.245599999951
NQ=F,Nasdaq Futures,futures,5m,5,1.0,0.01,68,0.6764705882352942,2.034740047024501,16.974955999999512,-266.25120000001334,1697.495599999951
EURUSD=X,EUR/USD,forex,5m,5,1.0,0.01,95,0.7368421052631579,1.795574026630306,1.6802981970234034,-45.94656984062135,168.0298197023439
GC=F,Gold,commodities,5m,5,1.0,0.01,60,0.6333333333333333,1.6171459311200982,2.0539207890623223,-42.601697656253236,205.3920789062322
GLD,Gold ETF,commodities,5m,5,1.0,0.01,82,0.6829268292682927,2.028788331643629,5.654562196289407,-58.282883886712625,565.4562196289426
AAPL,Apple,stocks,5m,5,1.0,0.01,82,0.5,0.9732914076209341,-0.7850049030764422,-992.8630181396745,-78.50049030764646
MSFT,Microsoft,stocks,5m,5,1.0,0.01,78,0.5384615384615384,1.091302954574977,1.9792275996098032,-729.2597653320172,197.92275996097572
GOOGL,Google,stocks,5m,5,1.0,0.01,81,0.35802469135802467,0.4882638356247628,-20.34552317602547,-2338.0591457763735,-2034.5523176025417
AMZN,Amazon,stocks,5m,5,1.0,0.01,80,0.5125,1.0346428696160583,0.963673487548749,-543.4131241699354,96.36734875486837
TSLA,Tesla,stocks,5m,5,1.0,0.01,79,0.5316455696202531,1.1080707270631807,3.775442645019939,-1087.8572788574033,377.5442645019939
SPY,S&P 500 ETF,stocks,5m,5,1.0,0.01,89,0.550561797752809,1.1759451058084422,1.1464730400395091,-138.76310478514415,114.64730400393682
QQQ,Nasdaq ETF,stocks,5m,5,1.0,0.01,85,0.6470588235294118,1.8477931407836259,7.1368182626953605,-113.42357753905708,713.6818262695576
MNQ=F,Micro Nasdaq,futures,5m,5,1.0,0.02,71,0.6901408450704225,2.0354063397764466,16.81245599999951,-228.00040000000445,1681.245599999951
NQ=F,Nasdaq Futures,futures,5m,5,1.0,0.02,68,0.6764705882352942,2.034740047024501,16.974955999999512,-266.25120000001334,1697.495599999951
EURUSD=X,EUR/USD,forex,5m,5,1.0,0.02,95,0.7368421052631579,1.795574026630306,1.6802981970234034,-45.94656984062135,168.0298197023439
GC=F,Gold,commodities,5m,5,1.0,0.02,60,0.6333333333333333,1.6171459311200982,2.0539207890623223,-42.601697656253236,205.3920789062322
GLD,Gold ETF,commodities,5m,5,1.0,0.02,82,0.6829268292682927,2.028788331643629,5.654562196289407,-58.282883886712625,565.4562196289426
AAPL,Apple,stocks,5m,5,1.0,0.02,82,0.5,0.9625135075774071,-1.2149849965823343,-1095.3653925781514,-121.4984996582329
MSFT,Microsoft,stocks,5m,5,1.0,0.02,78,0.5384615384615384,0.9897503540668053,-0.24330123144487517,-839.7615653320172,-24.330123144492745
GOOGL,Google,stocks,5m,5,1.0,0.02,81,0.35802469135802467,0.43967926934947926,-25.051820882812514,-2794.252964672859,-2505.182088281254
AMZN,Amazon,stocks,5m,5,1.0,0.02,80,0.5125,1.0335658894354516,1.0613514531249166,-719.6131495117338,106.13514531248325
