interval,orb_duration,tp_multiplier,risk_per_trade,avg_return,median_return,avg_profit_factor,positive_symbols,total_symbols,positive_ratio
15m,15,0.5,0.01,1.9226350615678347,2.6468090677489817,1.6058739872284802,8,11,0.7272727272727273
15m,15,0.5,0.02,1.2416065484397272,2.88246189648431,1.5625413461287219,7,11,0.6363636363636364
5m,5,0.5,0.01,4.8839038234086525,3.271493680664207,2.9382628239048305,9,11,0.8181818181818182
5m,5,0.5,0.02,4.792862990922422,3.271493680664207,2.9168871682431856,9,11,0.8181818181818182
5m,5,1.0,0.01,3.4430585328480348,2.0940361152346854,1.5347650431084745,8,11,0.7272727272727273
5m,5,1.0,0.02,2.981748595170474,2.0940361152346854,1.5174459426903868,8,11,0.7272727272727273
5m,5,2.0,0.01,2.7001059463556674,2.9747065895995184,1.4109661232128436,8,11,0.7272727272727273
5m,5,2.0,0.02,1.5411664144176493,3.718966580810411,1.3922717397998268,7,11,0.6363636363636364
5m,15,0.5,0.01,2.442854475929969,1.892451117187411,1.553496420603048,8,11,0.7272727272727273
5m,15,0.5,0.02,1.7523268404763157,1.892451117187411,1.5189823393753634,7,11,0.6363636363636364
