symbol,name,category,interval,orb_duration,tp_multiplier,risk_per_trade,total_trades,win_rate,profit_factor,return_pct,max_drawdown,total_pnl
AAPL,Apple,stocks,5m,5,0.5,0.01,82,0.6829268292682927,1.0183148069263719,0.3572492559812963,-655.9988137695362,35.724925598127754
AAPL,Apple,stocks,5m,5,0.5,0.02,82,0.6829268292682927,0.9731210250602995,-0.588014045898617,-764.3299799682616,-58.80140458986003
AAPL,Apple,stocks,5m,5,1.0,0.01,82,0.5,0.9732914076209341,-0.7850049030764422,-992.8630181396745,-78.50049030764646
AAPL,Apple,stocks,15m,15,0.5,0.01,66,0.5303030303030303,0.5753434056463503,-9.99934044604488,-1246.5299261474686,-999.9340446044982
AAPL,Apple,stocks,15m,15,0.5,0.02,66,0.5303030303030303,0.5626799343482431,-12.414289289428762,-1550.109901940927,-1241.428928942879
AAPL,Apple,stocks,15m,15,1.0,0.01,66,0.3484848484848485,0.5714606732273004,-13.53893110009769,-1588.929036450204,-1353.8931100097668
AMZN,Amazon,stocks,15m,15,0.5,0.02,55,0.6909090909090909,1.127297959108113,2.267899773925783,-367.6031102294958,226.78997739257667
AMZN,Amazon,stocks,15m,15,0.5,0.01,55,0.6909090909090909,1.1378748709228397,1.9280811745605204,-346.17511359863624,192.80811745605274
AMZN,Amazon,stocks,5m,5,0.5,0.01,80,0.6875,1.105177863302515,1.8436158007810264,-358.8414916259809,184.36158007810945
AMZN,Amazon,stocks,5m,5,0.5,0.02,80,0.6875,1.0830328936112796,1.6754015035398515,-442.42942259521874,167.54015035398743
AMZN,Amazon,stocks,5m,5,1.0,0.02,80,0.5125,1.0335658894354516,1.0613514531249166,-719.6131495117338,106.13514531248325
AMZN,Amazon,stocks,15m,15,2.0,0.01,52,0.3269230769230769,0.8982559595153587,-3.0162202614745,-782.3259376220633,-301.62202614744905
EURUSD=X,EUR/USD,forex,5m,5,2.0,0.01,93,0.5483870967741935,1.6421304677189292,2.1698427153474404,-78.96577779084026,216.98427153474668
EURUSD=X,EUR/USD,forex,5m,5,2.0,0.02,93,0.5483870967741935,1.6421304677189292,2.1698427153474404,-78.96577779084026,216.98427153474668
EURUSD=X,EUR/USD,forex,5m,5,1.0,0.01,95,0.7368421052631579,1.795574026630306,1.6802981970234034,-45.94656984062135,168.0298197023439
EURUSD=X,EUR/USD,forex,15m,15,2.0,0.01,60,0.48333333333333334,1.1683581465471742,0.85560037920779,-88.42941738108776,85.56003792078026
EURUSD=X,EUR/USD,forex,15m,15,2.0,0.02,60,0.48333333333333334,1.1683581465471742,0.85560037920779,-88.42941738108776,85.56003792078026
EURUSD=X,EUR/USD,forex,15m,15,1.0,0.01,74,0.6081081081081081,1.112192697467093,0.48885797363289385,-121.93061119193524,48.885797363284766
GC=F,Gold,commodities,15m,15,2.0,0.01,39,0.6410256410256411,3.34077260361771,8.117935812499855,-92.20057460937824,811.7935812499854
GC=F,Gold,commodities,15m,15,2.0,0.02,39,0.6410256410256411,3.34077260361771,8.117935812499855,-92.20057460937824,811.7935812499854
GC=F,Gold,commodities,5m,15,2.0,0.01,50,0.6,2.6970277562354923,7.176887097656072,-84.90194648437864,717.6887097656072
GC=F,Gold,commodities,5m,15,2.0,0.02,50,0.6,2.6970277562354923,7.176887097656072,-84.90194648437864,717.6887097656072
GC=F,Gold,commodities,5m,5,2.0,0.01,60,0.5333333333333333,2.1457245386893393,4.683870374999769,-65.60218593750324,468.38703749997694
GC=F,Gold,commodities,15m,15,1.0,0.01,46,0.6739130434782609,2.2164173386956043,3.7539321406248742,-79.40052578125324,375.39321406248746
GLD,Gold ETF,commodities,15m,15,2.0,0.01,61,0.5737704918032787,2.6003148937384823,13.848365351074483,-167.78851235350066,1384.8365351074563
GLD,Gold ETF,commodities,15m,15,2.0,0.02,61,0.5737704918032787,2.6003148937384823,13.848365351074483,-167.78851235350066,1384.8365351074563
GLD,Gold ETF,commodities,5m,15,2.0,0.01,72,0.5416666666666666,2.027864400721371,10.113733140625428,-220.88003198239903,1011.3733140625482
GLD,Gold ETF,commodities,5m,15,2.0,0.02,72,0.5416666666666666,2.027864400721371,10.113733140625428,-220.88003198239903,1011.3733140625482
GLD,Gold ETF,commodities,5m,5,2.0,0.01,82,0.5,1.7601719074893845,6.7075000322271805,-250.3706037109132,670.750003222716
GLD,Gold ETF,commodities,15m,15,1.0,0.01,63,0.6825396825396826,1.9358305972799905,6.351531143066677,-161.3644917968636,635.1531143066693
GOOGL,Google,stocks,15m,15,0.5,0.01,60,0.6666666666666666,0.9991625670682643,-0.015306044921890133,-858.1351370849657,-1.5306044921901503
GOOGL,Google,stocks,15m,15,0.5,0.02,60,0.6666666666666666,0.7483088110212704,-7.007070393554768,-1477.6082626953178,-700.7070393554734
GOOGL,Google,stocks,5m,5,0.5,0.01,83,0.6144578313253012,0.7250709151448766,-7.209872714965932,-1123.9090186401413,-720.9872714965913
GOOGL,Google,stocks,5m,15,0.5,0.01,70,0.5714285714285714,0.6465992441996238,-8.990480208618209,-1296.0677136474646,-899.0480208618243
GOOGL,Google,stocks,5m,5,0.5,0.02,83,0.6144578313253012,0.6652684302937856,-10.228209611694474,-1342.6073927978573,-1022.820961169445
GOOGL,Google,stocks,15m,15,1.0,0.01,58,0.39655172413793105,0.6429850310402085,-10.949959130371099,-1663.5597641601598,-1094.9959130371142
MNQ=F,Micro Nasdaq,futures,5m,15,2.0,0.01,41,0.6097560975609756,2.710355091209376,28.477466999999635,-361.50040000000445,2847.7466999999633
MNQ=F,Micro Nasdaq,futures,5m,15,2.0,0.02,41,0.6097560975609756,2.710355091209376,28.477466999999635,-361.50040000000445,2847.7466999999633
MNQ=F,Micro Nasdaq,futures,15m,15,2.0,0.01,34,0.5588235294117647,2.187264869351677,22.427468999999654,-406.75040000000445,2242.7468999999655
MNQ=F,Micro Nasdaq,futures,15m,15,2.0,0.02,34,0.5588235294117647,2.187264869351677,22.427468999999654,-406.75040000000445,2242.7468999999655
MNQ=F,Micro Nasdaq,futures,5m,15,1.0,0.01,56,0.6964285714285714,2.0802418082751633,18.44246499999961,-380.00140000001556,1844.246499999961
MNQ=F,Micro Nasdaq,futures,15m,15,1.0,0.01,49,0.673469387755102,1.709931591424673,13.809966999999634,-406.75040000000445,1380.9966999999633
MSFT,Microsoft,stocks,5m,5,0.5,0.02,78,0.7051282051282052,1.215417127745435,2.9638030095217616,-339.8773784179557,296.38030095217397
MSFT,Microsoft,stocks,5m,5,1.0,0.01,78,0.5384615384615384,1.091302954574977,1.9792275996098032,-729.2597653320172,197.92275996097572
